name,role,state,county,party,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__googleNews,websites__facebook,websites__twitter,office__address__poBox,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,articles__title,articles__url,articles__summary,articles__featuredImage
Chesa Boudin,District Attorney,California,San Francisco,democrat,40-50,male,white,FALSE,"https://en.wikipedia.org/wiki/Chesa_Boudin#/media/File:Chesa_Boudin,_San_Francisco_Elections_candidate_video_(October_2019)_(cropped).png",http://www.sfdistrictattorney.org/,https://en.wikipedia.org/wiki/Chesa_Boudin,https://www.google.com/search?q=Chesa+Boudin&hl=en&tbm=nws,,https://twitter.com/chesaboudin,,North Building,350 Rhode Island Street,San Francisco,94103,(628) 652-4000,districtattorney@sfgov.org,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,
"1.) Using the USPD web app, choose a state & county (or counties) to search. Pick a locale that doesn't show up. Stick with District & State Attorneys.",,,,,,,,,,,,,,,,,,,,,,,,,
2.) Download this template & upload it to your own Google Drive. Make sure it is private.,,,,,,,,,,,,,,,,,,,,,,,,,
3.) Fill in as much information as you can find.,,,,,,,,,,,,,,,,,,,,,,,,,
"4.) When finished, leave a comment on this GitHub issue (or send a maintainer an email; their contact information is on the README.md): https://github.com/billimarie/prosecutor-database/issues/80",,,,,,,,,,,,,,,,,,,,,,,,,
"5.) Your data will be added to the database, & your GitHub profile will be added to the Contributors gallery (if you'd like).",,,,,,,,,,,,,,,,,,,,,,,,,
