name,role,state,county,party,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__googleNews,websites__facebook,websites__twitter,office__address__poBox,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,articles__title,articles__url,articles__summary,articles__featuredImage,relevantCases,openData,previous
Michael W. Morrissey,District Attorney,Massachusetts,Norfolk,democrat,50-60,male,white,01-12-2011,https://upload.wikimedia.org/wikipedia/commons/9/9d/Michaelwmorrisseyda.jpg,https://www.mass.gov/orgs/norfolk-district-attorneys-office,https://en.wikipedia.org/wiki/Michael_W._Morrissey,,https://www.facebook.com/pages/Norfolk-District-Attorneys-Office/187871798061759,,,,45 Shawmut Road,Canton,02021,(781) 830-4800,,,,,,https://www.masslive.com/boston/2020/09/da-seeks-witnesses-after-cameron-nohmy-fatally-stabbed-in-quincy-we-know-that-there-were-witnesses-to-this-brief-altercation.html,,William R. Keating
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.) Using the USPD web app, choose a state & county (or counties) to search. Pick a locale that doesn't show up. Stick with District & State Attorneys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.) Download this template & upload it to your own Google Drive. Make sure it is private.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.) Fill in as much information as you can find. If you can't find anything, it's okay if you leave columns blank!",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.) When finished, leave a comment on this GitHub issue (or send a maintainer an email; their contact information is on the README.md): https://github.com/billimarie/prosecutor-database/issues/80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.) Your data will be added to the database, & your GitHub profile will be added to the Contributors gallery (if you'd like).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
