title,langcode,body
"Michael B. Whiting",en,"County Attorney
Apache County
Apache County Attorney Office
P.O. Box 637
St. Johns, AZ 85936
Phone: 928-337-7560
Fax: 928-337-2427
http://www.co.apache.az.us/attorney/contact-information/"

"Brian McIntyre",en,"County Attorney
Cochise County
150 Quality Hill Rd. 2nd Floor
P.O. Box Drawer CA
Bisbee, AZ 85603
Phone: 520-432-8700
https://www.cochise.az.gov/county-attorney/home"

"William P. Ring",en,"County Attorney
Coconino County
County Attorney's Office
110 E. Cherry Ave.
Flagstaff, AZ 86001
Phone: 928-679-8200
Fax: 928-214-6115
http://coconino.az.gov/162/County Attorney"

"Bradley D. Beauchamp",en,"County Attorney
Gila County
Globe Office
1400 E. Ash Street
Globe, AZ 85501
Phone: 928-402-8630
Fax: 928-425-3720
Payson Office
714 S. Beeline Hwy. Ste 202
Payson, AZ 85541
Phone: 928-474-4068
Fax: 928-474-9066
http://www.gilacountyaz.gov/government/county_attorney/index.php"

"Kenny Angle",en,"County Attorney
Graham County
800 Main Street
Safford, AZ 85546
Phone: 928-428-3620
Fax: 928-428-7200
https://www.graham.az.gov/175/Attorney"

"Jeremy Ford",en,"County Attorney
Greenlee County
County Attorney
P.O. Box 1717
Clifton, AZ 85533
Phone: 928-865-4108
Fax: 928-865-4665
http://www.co.greenlee.az.us/attorney/"

"Tony Rogers",en,"County Attorney
La Paz County
1320 Kofa Ave.
Parker, AZ 85344
Phone: 928-669-6118
Fax: 928-669-2019
http://www.co.la-paz.az.us/154/County-Attorney"

"Bill Montgomery",en,"County Attorney
Maricopa County
301 W. Jefferson St.
Phoenix, AZ 85003
Phone: 602-506-3411
https://www.maricopacountyattorney.org/Directory.aspx?EID=6"

"Matthew J. Smith",en,"County Attorney
Mohave County
315 N. 4th Street
Kingman, AZ 86401
Phone: 928-753-0719
Fax: 928-753-2669
https://www.mohavecounty.us/ContentPage.aspx?id=112"

"Brad Carlyon",en,"County Attorney
Navajo County
County Attorney's Office
100 East Code Talkers Drive
South Highway 77
P.O. Box 668
Holbrook, AZ 86025
Phone: (928) 524-4026
http://www.navajocountyaz.gov/Departments/County-Attorney"

"Barbara LaWall",en,"County Attorney
Pima County
Pima County Attorney's Office
32 N. Stone Avenue
Tucson, Arizona 85701
Phone: 520-724-5600
http://www.pcao.pima.gov/default.aspx"

"Kent Volkmer",en,"County Attorney
Pinal County
30 N. Florence Street
Florence, AZ 85132
Phone: 520-866-6271
http://www.pinalcountyaz.gov/countyattorney/pages/home.aspx"

"George Silva",en,"County Attorney
Santa Cruz County
2150 N. Congress Drive
Nogales, AZ 85621
Phone: 520-375-7780
Fax: 520-375-7793
https://www.santacruzcountyaz.gov/155/County-Attorney"

"Sheila Polk",en,"County Attorney
Yavapai County
255 E Gurley Street
Prescott, AZ 86301
Phone: 928-771-3344
Fax: 928-771-3110
http://www.yavapai.us/coatty/"

"Jon R. Smith",en,"County Attorney
Yuma County
Yuma County Justice Center
250 W 2nd St.
Suite G
Yuma, AZ 85364
Phone: 928-817-4300
Fax Criminal: 928-817-4301
Fax Civil: 928-817-4303
http://www.yumacountyaz.gov/government/county-attorney"
