title,langcode,body
William Eddins,en,"1st Judicial Circuit
Parishes Served: Escambia, Santa Rosa, Okaloosa, Walton
190 West Government St.
Pensacola, FL 32502
Escambia County
Phone: 850-595-4261
https://sao1.co.escambia.fl.us/"
Jack Campbell,en,"2nd Judicial Circut
Parishes Served:Leon, Franklin, Gadsden, Jefferson, Liberty, and Wakulla
301 South Monroe Street, Suite 475
Tallahassee, FL 32399-2550
Leon County
Phone: 850-606-6000
http://www.co.leon.fl.us/statty/"
Jeff Siegmeister,en,"3rd Judicial Circuit
Parishes Served: Columbia, Dixie, Hamilton, Lafayette, Madison, Suwannee, and Taylor Counties
 173 NE Hernando Ave. Suite 420
 Lake City, FL 32055
Columbia County
Phone: (386) 758-0470
Fax: (386) 758-0489
http://www.stateattorneythird.org/"
Melissa Nelson,en,"4th Judicial Circuit
Parishes Served:Clay, Duval, and Nassau Counties
311 West Monroe Street
Jacksonville, Florida 32202
 Duval County
Phone: (904) 255-2500
Fax:(904) 255-3061
https://www.sao4th.com/"
Brad King,en,"5th Judicial Circuit
Parishes Served: Citrus, Hernando, Lake, Marion, and Sumter Counties
110 North Apopka Ave.
3rd Floor RM 2-372
Inverness, FL 34450-4293
Citrus County
Phone: (352) 341-6670
Fax(352) 341-6675
http://sao5.org/about.html"
Bernie McCabe,en,"6th Judicial Circuit
Parishes Served: Pinellas and Pasco Counties
14250 49th St. N.
Clearwater, FL 33762
Pinellas County
Phone:(727) 464-6221
http://www.sao6.org/"
R.J. Larizza,en,"7th Judicial Circuit
Parishes Served: Flagler, Putnam, St. Johns, and Volusia Counties
1769 East Moody Blvd., Bldg 1, 3rd Floor
Bunnell, FL 32110
Flagler County
(386) 313-4300
https://www.sao7.com/"
William P. Cervone,en,"8th Judicial Circuit
Parishes Served: Alachua, Baker, Bradford, Gilchrist, Levy, and Union Counties
120 W University Ave
Gainesville, Florida, 32601
Alachua County
Phone: (352) 374-3670
http://www.sao8.org/"
Aramis D. Ayala,en,"9th Judicial Circuit
Parishes Served: Orange and Osceola Counties
415 North Orange Avenue
Orlando, FL 32801
Orange County
Phone:(407) 836-2400
https://www.sao9.net/"
Brian Haas,en,"10th Judicial Circuit
Parishes Served: Polk, Highland, and Hardee Counties
411 S Eucalyptus St.
Sebring, FL, 33870
Highland County
Phone: (863)402-654
http://www.sao10.com/"
Katherine Fernandez Rundle,en,"11th Judicial Circuit
Parishes Served: Miami-Dade County
1350 N.W. 12 Avenue
Miami, FL 33136-2111
Miami-Dade County
Phone: 305-547-0100
http://www.miamisao.com/"
Ed Brosky,en,"12th Judicial Circuit
Parishes Served: Sarasota, Manatee, and DeSoto Counties
2071 Ringling Blvd. Suite 400
Sarasota, FL 34237
Sarasota County
Phone: (941) 861-4400
Fax:(941) 861-4465
https://www.sao12.org/"
Andrew H. Warren,en,"13th Judicial Circuit
Parishes Served: Hillsborough County
419 N. Pierce Street
Tampa, FL 33602
Phone: (813) 272-5400
Fax: (813) 274-1976
http://www.sao13th.com/"
Glenn Hess,en,"14th Judicial Circuit
Parishes Served: Calhoun, Panama City, Port St. Joe, Bonifay, Marianna,Chipley
20859 Central Avenue
PO Box 503
Blounstown FL 3242
Calhoun County
Phone: (850) 674-4580)
 Fax: (850) 674-5028
http://sa14.fl.gov/calhoun-county/"
Dave Aronberg,en,"15th Judicial Circuit
Parishes Served: Palm Beach County
401 North Dixie Highway
West Palm Beach, FL 33401
Palm Beach County
Phone: (561) 355-7100
http://www.sa15.state.fl.us/stateattorney/‎"
Dennis W. Ward,en,"16th Judicial Circuit
 Parishes Served: Monroe County
530 Whitehead Street Suite 301
Key West, FL 33040
Monroe County
Phone: 305-292-3400
Fax: 305-294-7707
http://www.keyssao.org/"
Michael J. Satz,en,"17th Judicial Circuit
Parishes Served: Broward County
201 Southeast 6th Street, Suite 655
Fort Lauderdale, Florida 33301
Broward County
Phone: (954)-831-6955
http://www.sao17.state.fl.us/"
Phil Archer,en,"18th Judicial Circuit
Parishes Served: Brevard and Seminole County
2725 Judge Fran Jamieson Way
Bldg D
Viera, FL  32940
Brevard County
Phone: (321) 617-7510
http://sa18.org/"
Bruce Colton,en,"19th Judicial Circuit
 Parishes Served: Martin, Indian River, Okeechobee and Saint Lucie Counties
411 South 2nd Street
Fort Pierce, FL 34950
Saint Lucie County
Phone: (772) 465-3000
http://www.sao19.org/"
Stephen B. Russell,en,"20th Judicial Circuit
Parishes Served: Charlotte, Collier, Glades, Hendry, and Lee Counties
350 E. Marion Avenue
Punta Gorda, FL 33950
Charlotte County
Phone: (941) 637-2104
http://www.sao.cjis20.org/#top"
