title,langcode,role,county,officeInfo,phone,fax
Brian Wright,en,Commonwealth's Attorney,Adair,"630 Campbellsville Street
P.O. Box 658
Columbia, KY 42539
P.O. Box 2002
Mays Landing, NJ 08330",(606) 787-1479,(606) 787-5001
Jennifer Hutchison-Corbin,en,County Attorney,Adair,"424 Public Square
Suite 22
Columbia, KY 42728", (270) 384-3216,(270) 384-9273
Corey Morgan,en,Commonwealth's Attorney,Allen,"107 Robey Street, Suite 1
P.O. Box 472
Franklin, KY 42135",(270) 586-5326,(270) 586-4101
Hallye M. Arterburn,en,County Attorney,Allen,"201 W. Main Street, Suite 203
Scottsville, KY 42164",(270) 237-3117,(270) 237-3234
Hon. Laura Witt,en,Commonwealth's Attorney,Anderson,"544 Main Street
Shelbyville, KY 40065",(502) 647-3019,(502) 647-9916
Bobbi Jo Lewis,en,County Attorney,Anderson,"216 South Main Street
Lawrenceburg, KY 40342",(502) 839-5164,(502) 859-0100
Mike Stacy,en,Commonwealth's Attorney,Ballard,"133 North Fourth Street
P.O. Box 788
Wickliffe, KY 42087", (270) 335-5656,(270) 335-3807
Vicki Hayden,en,county Attorney,Ballard,"132 N. 4th St., Ballard Co. Courthouse
P.O. Box 530
Wickliffe, KY 42087",(270) 335-3504,(270) 335-5012
John Gardner,en,commonwealth's Attorney,Barren,"221 South Green Street
Glasgow, KY 42141",(270) 651-3838,(270) 651-1957
Kathryn Thomas,en,county Attorney,Barren,"220 West Main Street
Glasgow, KY 42141",(270) 651-8766,(270) 651-5871
Ronnie Goldy,en,commonwealth's Attorney,Bath,"44 West Main Street
Mt. Sterling, KY 40353",(859) 498-0911,(859) 498-7273
Kim. Hunt Prince,en,County Attorney,Bath,"100 North Court Street
P.O. Box 539
Owingsville, KY 40360",(606) 674-6663,(606) 674-2259
