title,langcode,body
"Andrew S. Robinson",en,"District Attorney
Androscoggin, Franklin, and Oxford counties
124 Main Street, Suite 105
P.O. Box 179
Auburn, ME 04210
Phone: 207-753-2500
Fax: 207-784-3282
http://www.androscoggincountymaine.gov/DA/DA.htm"

"Todd Collins, Esq.",en,"District Attorney
Aroostook County
144 Sweden Street, Suite 201
Caribou, ME 04736
Phone: 207-498-2557
Fax: 207-493-3493
https://www.aroostook.me.us/departments/district-attorney-office.html"

"Stephanie P. Anderson, Esq.",en,"District Attorney
Cumberland County
142 Federal Street
Portland, ME 04101
Phone: 207-871-8384
http://www.cumberlandcounty.org/184/District-Attorney"

"Matthew Foster, Esq.",en,"District Attorney
Hancock County
P.O. Box 722
Ellsworth, ME 04605
Phone: 207-667-4621
Fax: 207-667-0784
http://co.hancock.me.us/site/index.php/county-departments/da7​"

"Maeghan Maloney, Esq.",en,"District Attorney
Kennebec County
95 State Street
Augusta, ME 04330
Phone: 207-623-1156
Fax: 207-622-5839
http://www.kennebeccounty.org/kcda/index.html"

"Geoffrey Rushlau, Esq.",en,"District Attorney
Knox County
62 Union Street
Rockland, ME 04841
Phone: 207-594-0424
Fax: 207-594-0434
http://tinyurl.com/lb6fwdu"

"Geoffrey Rushlau, Esq.",en,"District Attorney
Lincoln County
32 High Street
P.O. Box 249
Wiscasset, ME 04578
Phone: 207-882-7312
Fax: 207-882-4323
http://www.lincolncountymaine.me/pg_da.htm"

"R. Christopher Almy, Esq.",en,"District Attorney
Penobscot County
97 Hammond Street
Bangor, ME 04401
Phone: 207-942-8552
Fax: 207-945-4748
https://211maineportal.communityos.org/zf/profile/service/id/277659"

"R. Christopher Almy, Esq.",en,"District Attorney
Piscataquis County
159 E. Main Street
Dover-Foxcroft, ME 04426
Phone: 207-564-2181
Fax: 207-564-6503
​http://www.piscataquis.us/district-attorney"

"Geoffrey Rushlau, Esq.",en,"District Attorney
Sagadahoc County
752 High Street
Bath, ME 04530
Phone: 207-443-8204
Fax: 207-443-8208
http://sagcounty.com/sag_district_attorney.html"

"Maeghan Maloney, Esq.",en,"District Attorney
Somerset County
41 Court Street
Skowhegan, ME 04976
Phone: 207-474-2423
Fax: 207-474-7407
http://www.somersetcounty-me.org/Directory.aspx?did=7"

"Geoffrey Rushlau, Esq.",en,"District Attorney
Waldo County
137 Church Street
Belfast, ME 04915
Phone: 207-338-2512
Fax: 207-338-6792
http://www.waldocountyme.gov/da/"

"Carletta Bassano, Esq.",en,"District Attorney
Washington County
Calais District Attorney's Office
382 South Street Suite A
P.O. Box 333
Calais, ME 04619
Phone: 207-454-3159
Fax: 207-454-2665
http://www.washingtoncountymaine.com/index.php/county-government/district-attorney​"

"Kathryn Slattery, Esq.",en,"District Attorney
York County
45 Kennebunk Road
Alfred, ME 04002
Phone: 207-324-8001
Fax: 207-490-6990
http://www.yorkcountymaine.gov/district-attorney"
