"title","langcode","body"
"Donna Fegler Daiss","en","Adams County
Parishes Served: Adams County
P.O Box 71
Hastings, NE 68901
Phone:402-461-7240
Fax:402-461-7241
http://www.adamscounty.org/county-attorney"
"Joseph Abler","en","Antelope County
Parishes Served: Antelope County
501 M Street, Room #11
Neligh, NE 68756
Phone: 402-887-5151
Fax: 402-887-5277
https://antelopecounty.nebraska.gov/county-attorney"
"Richard Roberts","en","Arthur County
Parishes Served: Arthur County
P.O. Box 130
Grant, NE 69140
 Phone: 308-352-2111
Fax: 308-352-2112
https://arthurcounty.nebraska.gov/content/attorney"
"James L. Zimmerman","en","Banner County
Parishes Served: Banner County
P.O. Box 700
Scottsbluff, NE 69363
Phone: 308-630-0909
308-630-0932
http://www.bannercountynegov.org/attorney"
"Glenn Clark","en","Blaine
Parishes Served: Blaine County
1000 S 1st Ave
Broken Bow, NE 68822
Phone: 308-547-2222 ext.205
Fax: (308)547-2228
http://www.blainecounty.ne.gov/attorney.html"
"Jim Ely Jr.","en","Boone County
Parishes Served: Boone County
222 South 4th Street
Albion, NE 68620
Phone: 402-395-6603
Fax: 402-395-6061
http://www.co.boone.ne.us/webpages/attorney/attorney.html"
"Travis Rodak","en","Box Butte
Parishes Served: Box Butte
P.O. Box 660
Alliance, NE 69301
Phone: 308-762-8346
Fax: 308-762-1896
http://boxbuttecounty.us/webpages/attorney/attorney.html"
"Thomas P. Herzog","en","117 N 4th Street
O'Neill, NE 68763-0511
Phone: 402-336-2678
Fax: 402-336-1408
http://www.boydcounty.ne.gov/webpages/attorney/attorney.html"
"David Streich","en","Brown County
Parishes Served: Brown County
148 W 4th Street, Suite 7
Ainsworth, NE 69210
Phone: 402-387-0926
http://browncounty.ne.gov/webpages/attorney/attorney.html"
"Shawn R. Eatherton","en","Buffalo County
Parishes Served: Buffalo County
P.O. Box 67
Kearney, NE 68848
Phone: 308-236-1222
Fax: 308-233-3065
http://www.buffalocounty.ne.gov/ATTORNEY"
"Francis W. Barron III","en","Burt County
Parishes Served: Burt County
111 N 13th Street Suite 12
Tekamah, NE 68061
Phone: (402) 374-2910
Fax: (402) 374-2909
http://www.burtcounty.ne.gov/webpages/attorney/attorney.html"
"Julie Reiter","en","Butler County
Parishes Served: Butler County
451 N 5th St
David City, NE 68632
Phone: 402-367-7470
Fax: 402-367-3287
http://www.co.butler.ne.us/webpages/attorney/attorney.html"
"S. Colin Palm","en","Cass County
Parishes Served: Cass County
346 Main Street
Plattsmouth NE 68048-1964
Phone: 402-296-9346
Fax: 402-296-9350
http://www.cassne.org/attorney.html"
"Edward H. Matney","en","Cedar County
Parishes Served: Cedar County
101 S Broadway Ave
Hartington, NE 68739
Phone: 402-254-7229
http://www.co.cedar.ne.us/webpages/attorney/attorney.html"
"Arlan Wine","en","Chase County
Parishes Served: Chase County
PO Box 1299
Imperial, NE 69033
Phone: (308)882-7515
http://www.co.chase.ne.us/attorney.html"
"Eric A. Scott","en","Cherry County
Parishes Served: Cherry County
PO Box 349
Valentine, NE 69201
Phone: (402) 376-1803
Fax: (402) 376-1964
http://www.co.cherry.ne.us/webpages/attorney/attorney.html"
