name,role,state,county,party,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__googleNews,websites__facebook,websites__twitter,office__address__poBox,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,articles__title,articles__url,articles__summary,articles__featuredImage,relevantCases,openData,previous
Dan May,District Attorney,Colorado,El Paso,republican,,male,white,,http://www.4thjudicialda.com/images/Dan1.jpg,http://www.4thjudicialda.com/AboutDanMay.html,,https://www.google.com/search?client=firefox-b-1-d&biw=1366&bih=626&tbm=nws&sxsrf=ALeKk01uE8l8KulE-zwWfKXcuGLoquqkQw%3A1601783552365&ei=AEd5X7LpFZjWtAaQo6aoAQ&q=%22dan+may%22+%22district+attorney%22&oq=%22dan+may%22+%22district+attorney%22&gs_l=psy-ab.3...1202.6810.0.28399.0.0.0.0.0.0.0.0..0.0....0...1c.1.64.psy-ab..0.0.0....0.7Kg6S_w_Zrs,https://www.facebook.com/4thjudicialda/,http://www.twitter.com/4thJudicialDA,,,105 E. Vermijo Ave.,Colorado Springs,80903,(719)520-6000,,District Attorney Dan May asks El Paso County for more money ,https://gazette.com/news/district-attorney-dan-may-asks-el-paso-county-for-more-money/article_9e44b25a-d190-11e8-8894-7b3ae483ae90.html,El Paso County’s top prosecutor is asking for money to hire more staff as an increase in felony filings also could lead to new judges being added.,https://bloximages.newyork1.vip.townnews.com/gazette.com/content/tncms/assets/v3/editorial/d/b4/db41e47e-97be-5ceb-ae1e-a5eb824842d6/5b52685645e28.image.jpg?resize=750%2C523,https://www.coloradoindependent.com/2017/11/07/federal-lawsuit-district-attorney-dan-may-colorado-springs-el-paso-retaliation-prosecutorial-misconduct/,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.) Using the USPD web app, choose a state & county (or counties) to search. Pick a locale that doesn't show up. Stick with District & State Attorneys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.) Download this template & upload it to your own Google Drive. Make sure it is private.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.) Fill in as much information as you can find. If you can't find anything, it's okay if you leave columns blank!",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.) When finished, leave a comment on this GitHub issue (or send a maintainer an email; their contact information is on the README.md): https://github.com/billimarie/prosecutor-database/issues/80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.) Your data will be added to the database, & your GitHub profile will be added to the Contributors gallery (if you'd like).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
