title,langcode,body
DISTRICT ATTORNEY,,
Michael B. Whiting,en,"Apache County

245 W. 1st South, St. Johns.
PO Box 637
St. Johns, AZ 85936

ygreer@apachelaw.net
Phone: (928) 337-7560
FAX: (928) 337-2427

http://www.co.apache.az.us/attorney/"
Bryan McIntyre,en,"Cochise County

150 Quality Hill Rd, 2nd Floor
P.O. Drawer CA
Bisbee, AZ 85603

Attorney@cochise.az.gov
(520) 432-8700

https://www.cochise.az.gov/county-attorney/home
"
"William ""Bill"" P. Ring ",en,"Coconino County

110 E. Cherry Ave.
Flagstaff, AZ 86001 

Ph: (928) 679-8200
Toll Free: (800) 559-9289
Fx: (928) 214-6115

http://coconino.az.gov/162/County-Attorney"
Bradley D. Beauchamp,en,"Gila County

1400 E. Ash Street
Globe, Arizona 85501

Phone: (928) 402-8630
Fax: (928) 425-3720

http://www.gilacountyaz.gov/government/county_attorney/index.php"
"Kenneth ""Kenny"" Angle",en,"Graham County

800 Main Street
Safford, AZ 85546

kangle@graham.az.gov

Phone: 928-428-3620
Fax: 928-428-7200

https://www.graham.az.gov/175/Attorney"
Jeremy Ford,en,"Greenlee County

P.O. Box 1717
Clifton , AZ 85533

jford@co.greenlee.az.us

Phone: (928) 865-4108
Fax: (928) 865-4665

http://www.co.greenlee.az.us/attorney/

Headshot: http://www.co.greenlee.az.us/attorney/images/attorney.jpg"
Tony Rogers,en,"La Paz County

Black / Multiracial

1320 Kofa Avenue
Parker, AZ 85344

tonyrogers@co.la-paz.az.us
928-669-6118
Fax: 928-669-2019

http://www.co.la-paz.az.us/154/County-Attorney"
Bill Montgomery,en,"Maricopa County

301 W. Jefferson Street
Phoenix, AZ 85003
 
602-506-3411 

https://www.maricopacountyattorney.org/"
"Matthew ""Matt"" J. Smith",en,"Mohave County

December 2003

315 N. 4th Street
Kingman, AZ 86401


matt.smith@mohavecounty.us
main: 928-753-0719
fax: 928-753-2669

https://www.mohavecounty.us/ContentPage.aspx?id=112"
Brad Carlyon,en,"Navajo County

County Attorney's Office
P.O. Box 668
Holbrook, AZ 86025-0668

Holbrook: (928) 524-4026

http://www.navajocountyaz.gov/Departments/County-Attorney

https://www.facebook.com/pages/Navajo-County-Attorneys-Office/331632566847203"
Barbara Lawall,en,"Pima County

1996

32 N. Stone Avenue
Tucson, Arizona 85701

(520) 724-5600 

http://www.pcao.pima.gov/default.aspx

http://www.facebook.com/pages/Barbara-LaWall-Pima-County-Attorney/340331092443

http://twitter.com/PimaCountyAtty"
Kent Vokmer,en,"Pinal County

2016

P.O. Box 887
30 N. Florence St., Building D
Florence, AZ 85132

PinalCountyAttorney@pinalcountyaz.gov
pcavictimservices@pinalcountyaz.gov
520-866-6271

http://www.pinalcountyaz.gov/CountyAttorney/Pages/Home.aspx"
George Silva,en,"Santa Cruz County

Latino

2150 N. Congress Drive
Nogales, AZ 85621

gsilva@santacruzcountyaz.gov
Ph: 520-375-7780
Fx: 520-375-7793

http://www.co.santa-cruz.az.us/155/County-Attorney"
Sheila Polk,en,"Yavapai County

2000

255 E Gurley Street
Prescott, AZ 86301
Phone: (928) 771-3344
Fax: (928) 771-3110

http://www.yavapai.us/coatty/
"
Jon R. Smith,en,"Yuma County

Yuma County Justice Center
250 W 2nd St. 
Suite G 
Yuma, AZ 85364
Main:  (928) 817-4300

http://www.yumacountyaz.gov/government/county-attorney"
MUNICIPAL ATTORNEY,,
,,"Bullhead City Prosecutor

http://www.bullheadcity.com/departments/city-prosecutor-s-office
"
,,"Glendale City Prosecutor

http://www.glendaleaz.com/Prosecutor/index.cfm
"
,,"Kingman City Attorney

http://www.cityofkingman.gov/Departments/CityAttorney.aspx
"
,,"Lake Havasu City Attorney

https://www.lhcaz.gov/city-attorney
"
,,"Mesa City Prosecutor

http://www.mesaaz.gov/city-hall/city-attorney/city-prosecutor-s-office
"
,,"Oro Valley Town Prosecutor (Not DA)

https://www.orovalleyaz.gov/town/departments/legal"
,,"Payson Town Prosecutor

http://paysonaz.gov/Departments/legal/prosecutor.html
"
,,"Peoria City Attorney

https://www.peoriaaz.gov/newsecondary.aspx?id=488
"
,,"Phoenix City Attorney

https://www.phoenix.gov/law/prosecutor/
"
,,"Sahuarita Town Prosecutor

http://sahuaritaaz.gov/index.aspx?NID=174
"
,,"Scottsdale City Attorney / Prosecutor

http://www.scottsdaleaz.gov/attorney
"
,,"Sedona City Attorney

http://www.sedonaaz.gov/your-government/departments/city-attorney-s-office
"
,,"Tempe City Attorney

http://www.tempe.gov/city-hall/city-attorney-s-office
"
,,"Tempe City Prosecutor

http://www.tempe.gov/city-hall/city-attorney-s-office
"
,,"Tucson City Attorney

http://cms3.tucsonaz.gov/attorney
"
,,"Tucson City Prosecutor
https://www.tucsonaz.gov/prosecutor"
