title,langcode,body
Nancy O'Malley,en,"ALAMEDA COUNTY
1225 Fallon Street, Room 900
Oakland, CA 94612
Phone: (510) 272-6222
Fax: (510) 217-5157"
Michael Atwell,en,"ALPINE COUNTY
P.O. Box 248
Markleeville, CA 96120
Phone: (530) 694-2971 Fax: (530) 694-2980
http://www.alpinecountyca.gov/Index.aspx?NID=18"
Todd Riebe,en,"708 Court Street, #202
Jackson, CA 95642
Phone: (209) 223-6444
Fax: (209) 223-6304
http://www.co.amador.ca.us/government/district-attorney"
Michael Ramsey,en,"BUTTE COUNTY
25 County Center Drive
Administration Building
Oroville, CA 95965
Phone: (530) 538-7411
Fax: (530) 538-7071
http://www.buttecounty.net/da/"
Barbara Yook,en,"CALAVERAS COUNTY
891 Mountain Ranch Road
San Andreas, CA 95249
Phone: (209) 754-6330 Fax: (297) 754-6327
http://www.co.calaveras.ca.us/departments/district_atty.asp"
Matthew Beauchamp,en,"COLUSA COUNTY
346 5th Street, Suite 101
Colusa, CA 95932
Phone: (530) 458-0545 Fax: (530) 458-0518
http://www.colusada.net/"
Diana Becton,en,"CONTRA COSTA COUNTY
900 Ward Street
Martinez, CA 94553
Phone: (925) 957-2200 Fax: (925) 957-2565
http://www.contracostada.org/"
Katherine Micks,en,"DEL NORTE COUNTY
Acting District Attorney
450 H Street, Room 171
Crescent City, CA 95531
Phone: (707) 464-7210
Fax: (707) 465-6609
http://www.co.del-norte.ca.us/departments/district-attorney"
Vernon Pierson,en,"EL DORADO COUNTY
515 Main Street
Placerville, CA 95667
Phone: (530) 621-6472
Fax: (530) 621-1280
https://www.edcgov.us/ELDODA/
http://vernpierson.us/blog/archive-2"
Lisa Smittcamp,en,"FRESNO COUNTY
2220 Tulare Street, Suite 1000
Fresno, CA 93721
Phone: (559) 600-3141
Fax: (559)�600-4400
http://www.co.fresno.ca.us/Departments.aspx?id=156"
Dwayne Stewart,en,"GLENN COUNTY
P.O. Box 430
Willows, CA 95988
Phone: (530) 934-6525
Fax: (530) 934-6529
http://countyofglenn.net/govt/departments/district_attorney/"
Maggie Fleming,en,"HUMBOLDT COUNTY
825 5th Street
Eureka, CA 95501
Phone: (707) 445-7411 Fax: (707) 445-7416
http://co.humboldt.ca.us/distatty/"
Gilbert G. Otero,en,"IMPERIAL COUNTY
940 West Main Street, Suite 102
El Centro, CA 92243
Phone: (442) 265-1175
Fax: (760) 352-4474
http://www.co.imperial.ca.us/districtattorney/"
Thomas L. Hardy,en,"INYO COUNTY
168 North Edwards
Independence, CA 93526
Phone: (760) 878-0282 Fax: (760) 878-2383"
Lisa Green,en,"KERN COUNTY
1215 Truxtun Avenue
Bakersfield, CA 93301
Phone: (661) 868-2340 Fax: (661) 868-2700
http://www.co.kern.ca.us/da"
Keith Fagundes,en,"KINGS COUNTY
http://www.countyofkings.com/departments/public-safety/district-attorney
1400 West Lacey Blvd.
Hanford, CA 93230
Phone: (559) 582-0326 Fax: (559) 584-9630"
Donald Anderson,en,"LAKE COUNTY

District Attorney
255 N. Forbes Street
Lakeport, CA 95453
Phone: (707) 263-2251 Fax: (707) 263-2328
http://www.co.lake.ca.us/Government/Directory/District_Attorney.htm"
Stacey L. Montgomery,en,"LASSEN COUNTY

District Attorney
2950 Riverside Drive, Suite 102
Susanville, CA 96130
Phone: (530) 251-8283 Fax: (530) 251-2692
http://www.lassencounty.org/dept/district-attorney/welcome"
David Linn,en,"MADERA COUNTY

District Attorney
209 West Yosemite Avenue
Madera, CA 93637
Phone: (559) 675-7726 Fax: (559) 673-0430
http://www.madera-county.com/index.php/department-overview"
Edward Berberian,en,"MARIN COUNTY

District Attorney
3501 Civic Center Drive, Room 130
San Rafael, CA 94903
Phone: (415) 499-6450 Fax: (415) 499-6734
http://www.marincounty.org/depts/da"
Tom Cooke,en,"MARIPOSA COUNTY

District Attorney
P.O. Box�730
Mariposa, CA 95338
Phone: (209) 966-3626�Fax: (209) 966-5681
http://www.mariposacounty.org/index.aspx?nid=74"
C. David Eyster,en,"MENDOCINO COUNTY

District Attorney
P.O. Box 1000
Ukiah, CA 95482
Phone: (707) 463-4211 Fax: (707) 463-4687
https://www.co.mendocino.ca.us/da/"
Larry Morse II,en,"MERCED COUNTY

District Attorney
550 West Main Street
Merced, CA 95340
Phone: (209) 385-7381 Fax: (209) 725-3669
http://www.co.merced.ca.us/da"
Jordan Funk,en,"MODOC COUNTY

District Attorney
204 S. Court Street Room 202
Alturas, CA 96101
Phone: (530) 233-6212 Fax: (530) 233-4067
http://www.monocounty.ca.gov/departments/district_attorney/district_attorney.html"
Tim Kendall,en,"MONO COUNTY

District Attorney
P.O. Box�2053
Mammoth Lakes, CA 93546
Phone: (760)�924-1710 Fax: (760)�924-1711"
Dean Flippo,en,"MONTEREY COUNTY

District Attorney
P.O. Box 1131
Salinas, CA 93902
Phone: (831) 755-5070 Fax: (831) 796-3389
http://www.co.monterey.ca.us/da"
Allison Haley,en,"NAPA COUNTY

District Attorney
P.O. Box�720
Napa, CA 94559
Phone: (707) 253-4211 Fax: (707) 253-4041
http://www.countyofnapa.org/DA/"
Clifford Newell,en,"NEVADA COUNTY

District Attorney
201 Commercial Street
Nevada City, CA 95959
Phone: (530) 265-1301 Fax: (530) 478-1871
https://www.mynevadacounty.com/nc/da/Pages/Home.aspx"
Tony Rackauckas,en,"ORANGE COUNTY

District Attorney
401 Civic Center Drive West
Santa Ana, CA 92701
Phone: (714) 834-3600 Fax: (714) 834-5880
http://orangecountycadistrictattorney.com (?)"
R. Scott Owens,en,"PLACER COUNTY

District Attorney
10810 Justice Center Drive
Roseville, CA 95678
Phone: (916) 543-8000 Fax: (916) 543-2550
http://www.placer.ca.gov/departments/da"
David Hollister,en,"PLUMAS COUNTY

District Attorney
520 Main Street, Room 404
Quincy, CA 95971
Phone: (530) 283-6303 Fax: (530) 283-6340
http://www.plumascounty.us/districtattorney"
Michael Hestrin,en,"RIVERSIDE COUNTY

District Attorney
3960 Orange Street
Riverside, CA 92501
Phone: (951) 955-5400 Fax: (951) 955-5682
http://www.rivcoda.org/"
Candice Hooper-Mancino,en,"SAN BENITO COUNTY
419 4th Street
Hollister, CA 95023
Phone: (831) 636-4120 Fax: (831) 636-4126"
Michael Ramos,en,"SAN BERNARDINO COUNTY

District Attorney
303 W. Third Street
San Bernardino, CA 92415
Phone: (909) 387-8309 Fax: (909) 387-6444
http://www.sbcounty.gov/da/"
Summer Stephan,en,"SAN DIEGO COUNTY

Interim District Attorney
330 W. Broadway, Suite 1300
San Diego, CA 92101
Phone: (619) 531-4040 Fax:(619) 237-1351
http://www.sdcda.org/"
George Gascon,en,"SAN FRANCISCO COUNTY

District Attorney
880 Bryant Street, Third Floor
San Francisco, CA 94103
Phone: (415) 553-1751 Fax: (415)�575-8815
http://www.sfdistrictattorney.org"
Tori Verber Salazar,en,"SAN JOAQUIN COUNTY

District Attorney
P.O. Box�990
Stockton, CA 95202
Phone: (209) 468-2400 Fax: (209) 465-0371
http://www.sjgov.org/da"
Dan Dow,en,"SAN LUIS OBISPO COUNTY

District Attorney
Courthouse Annex, 4th Floor
San Luis Obispo, CA 93408
Phone: (805) 781-5800 Fax: (805) 781-4307
http://www.slocounty.ca.gov/da.htm"
Stephen M. Wagstaffe,en,"SAN MATEO COUNTY

District Attorney
400 County Center, Third Floor
Redwood City, CA 94063
Phone: (650) 363-4636 Fax: (650) 363-4873
http://www.co.sanmateo.ca.us/portal/site/districtattorney/"
Joyce Dudley,en,"SANTA BARBARA COUNTY

District Attorney
1112 Santa Barbara Street
Santa Barbara, CA 93101
Phone: (805) 568-2300 Fax: (805) 568-2398
http://www.countyofsb.org/da/index.asp"
Jeffrey Rosen,en,"SANTA CLARA COUNTY

District Attorney
70 West Hedding Street, West Wing
San Jose, CA 95110
Phone: (408) 290-7400 Fax: (408) 286-5437
http://www.santaclara-da.org/portal/site/da/"
Jeff Rosell,en,"SANTA CRUZ COUNTY

District Attorney
701 Ocean Street, Room 200
Santa Cruz, CA 95060
Phone: (831) 454-2400 Fax: (831) 454-2227
http://datinternet.co.santa-cruz.ca.us/"
Stephanie A. Bridgett,en,"SHASTA COUNTY

District Attorney
1355 West Street
Redding, CA 96001
Phone: (530) 245-6300 Fax: (530) 245-6334
http://www.da.co.shasta.ca.us/"
Lawrence Allen,en,"SIERRA COUNTY

District Attorney
100 Courthouse Square
Downieville, CA 95936
Phone: (530) 289-3269 Fax: (530) 289-2822
http://www.sierracounty.ca.gov/index.aspx?nid=221"
James Kirk Andrus,en,"SISKIYOU COUNTY

District Attorney
P.O. Box�986
Yreka, CA 96097
Phone: (530) 842-8125 Fax: (530) 842-8137
http://www.co.siskiyou.ca.us/page/district-attorneys-office"
Krishna A. Abrams,en,"SOLANO COUNTY

District Attorney
675 Texas Street, Suite 4500
Fairfield, CA 94533
Phone: (707) 784-6800 Fax: (707) 784-7986
http://www.solanocounty.com/da"
Jill Ravitch,en,"SONOMA COUNTY

District Attorney
600 Administration Drive, Room 212J
Santa Rosa, CA 95403
Phone: (707) 565-2311 Fax: (707) 565-6187
http://www.sonoma-county.org/da/index.htm"
Birgit Fladager,en,"STANISLAUS COUNTY

District Attorney
832 12th Street, Suite 300
Modesto, CA 95353
Phone: (209) 525-5550 Fax: (209) 558-4027
http://www.stanislaus-da.org"
Amanda L. Hopper,en,"SUTTER COUNTY

District Attorney
446 Second Street, Suite�102
Yuba City, CA 95991
Phone: (530) 822-7330 Fax: (530) 822-7337
http://www.co.sutter.ca.us/doc/government/depts/da/da_home"
Gregg Cohen,en,"TEHAMA COUNTY

District Attorney
P.O. Box�519
Red Bluff, CA 96080
Phone: (530) 527-3053 Fax: (530) 527-4735
http://www.co.tehama.ca.us/district-attorney"
Eric Heryford,en,"TRINITY COUNTY

District Attorney
P.O. Box 310
Weaverville, CA 96093
Phone: (530) 623-1304 Fax: (530) 623-8346
http://www.trinitycounty.org/index.aspx?page=62"
Tim Ward,en,"TULARE COUNTY
221 South Mooney Blvd., Suite 224
Visalia, CA 93291
Phone: (559) 636-5494 Fax: (559) 730-2658
http://www.da-tulareco.org/"
Laura Krieg,en,"TUOLUMNE COUNTY
423 No. Washington Street
Sonora, CA 95370
Phone: (209) 588-5450 Fax: (209) 588-5445
http://www.tuolumnecounty.ca.gov/index.aspx?NID=166"
Gregory Totten,en,"VENTURA COUNTY
800 South Victoria Avenue
Ventura, CA 93009
Phone: (805) 654-2500 Fax: (805) 654-3850
http://www.vcdistrictattorney.com/"
Jeffery Reisig,en,"YOLO COUNTY
301 Second Street
Woodland, CA 95695
Phone: (530) 666-8180 Fax: (530) 666-8423
http://yoloda.org/"
Patrick McGrath,en,"YUBA COUNTY
215 Fifth Street, Suite 152
Marysville, CA 95901
Phone: (530) 749-7770 Fax: (530) 749-7363
http://www.co.yuba.ca.us/Departments/DA/"
