title,langcode,body
Tania M. Bonnett,en,"Adams

White, Female

Independent

Adams County Courthouse
PO Box 258
Friendship, WI 53934

Phone: (608) 339-4217
FAX: (608) 339-4288

https://co.adams.wi.us/Departments/DistrictAttorney/tabid/73/Default.aspx"
Kelly J. McKnight,en,"Ashland

Democrat

Ashland County Courthouse
201 Main St W
Room 301
Ashland WI 54806
 
(p) 715-682-7019
(f) 715-682-7022

https://co.ashland.wi.us/district_attorney"
Brian Wright,en,"Barron

Barron County Justice Center
1420 State Hwy 25 North – Room 2301
Barron, WI 54812

(715) 537-6220
715-537-6155

https://www.barroncountywi.gov/index.asp?Type=B_BASIC&SEC={46574272-EF56-4923-910B-38F447B17AF1}"
Kimberly Lawton,en,"Bayfield

White, Female

January 2017

Democrat

117 E. Fifth St.
P.O. Box 487
Washburn, WI 54891

BayfieldDA@da.wi.gov

Ph: 715-373-6111
Fx: 715-373-5996

https://www.bayfieldcounty.org/138/District-Attorney"
David L. Lasee,en,"Brown

Republican

Phone: 920- 448-4190
Fax: 920- 448-4189

300 East Walnut Street
Green Bay, WI 54301

https://www.co.brown.wi.us/contact_us/?department=34be8c6dea5b

https://www.linkedin.com/in/david-lasee-88085041"
Thomas W. Clark,en,"Buffalo

Democrat

317 S. 2nd St.
Alma, WI 54610

608-685-6236
Fax: 608-685-6237 

tom.clark@da.wi.gov
clark.tom@mail.da.state.wi.us

https://www.buffalocounty.com/171/District-Attorney"
William L. Norine,en,"Burnette

Republican

7410 County Road K #113
Siren, WI 54872

715-349-2167
Fax: 715-349-2165

https://www.burnettcounty.com/Directory.aspx?did=23"
Nathan F. Haberman,en,"Calumet

Republican

Calumet County Courthouse
206 Court Street
Chilton, WI 53014

Phone:  (920) 849-1438
Fax:  (920) 849-1464

Email:  calumetda@da.wi.gov

https://www.co.calumet.wi.us/index.aspx?nid=143"
Steven H. Gibbs,en,"Chippewa

Republican

https://www.co.chippewa.wi.us/government/district-attorney"
Kerra Stumbris,en,"Clark

Democrat

https://www.co.clark.wi.us/index.aspx?nid=168"
Jane E. Kohlwey,en,"Columbia

Republican

https://www.co.columbia.wi.us/columbiacounty/da/DistrictAttorneyHomePage/tabid/1090/Default.aspx"
Timothy C. Baxter,en,"Crawford

Democrat"
Ismael Ozanne,en,"Dane

Democrat

https://www.countyofdane.com/da/"
Kurt F. Klomberg,en,"Dodge

Republican

https://www.co.dodge.wi.gov/government/departments-a-d/district-attorney"
Colleen C. Nordin,en,"Door

Republican

https://www.co.door.wi.gov/localgov_departments_details.asp?deptid=37&amp;locid=137"
Mark Fruehauf,en,"Douglas

Democrat

https://www.douglascountywi.org/index.aspx?nid=183"
Andrea Nodolf,en,"Dunn

Republican

https://www.co.dunn.wi.us/index.asp?SEC=5C3D75B5-DFC5-4E39-BC18-DE7FA1C78F4A&amp;Type=B_BASIC"
