id,name,office,role,state,county_or_region,jurisdiction,website,email,phone,source_file,source_row_number,notes
ak-8e9dad1f990667ef,Jahna Lindemuth,Attorney General,Attorney General,AK,,,http://www.law.state.ak.us/index.html,,,attorney-general.csv,3,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
al-6c4cee9f5f546fa5,Steve Marshall,Attorney General,Attorney General,AL,,,http://www.ago.alabama.gov,,,attorney-general.csv,2,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ar-59d92f05a20482d3,Leslie Rutledge,Attorney General,Attorney General,AR,,,https://arkansasag.gov,,,attorney-general.csv,6,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
as-724d0b83092c49ac,Talauega Eleasalo V. Ale,Attorney General,Attorney General,AS,,,http://www.naag.org/naag/attorneys-general/whos-my-ag/american-samoa/talauega-eleasalo-v.-ale.php,,,attorney-general.csv,4,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-49b02b2951bdbef7,Barbara Lawall,District Attorney,District Attorney,AZ,Pima County,,http://www.pcao.pima.gov/default.aspx,,1 (520) 724-5600,az.csv,12,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-07c847ee46ef28eb,Bill Montgomery,District Attorney,District Attorney,AZ,Maricopa County,,https://www.maricopacountyattorney.org/,,602-506-3411,az.csv,9,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-d472b77c136b960b,Brad Carlyon,District Attorney,District Attorney,AZ,Navajo County,,http://www.navajocountyaz.gov/Departments/County-Attorney,,(928) 524-4026,az.csv,11,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-8f6b4bf621fddf05,Bradley D. Beauchamp,District Attorney,District Attorney,AZ,Gila County,,http://www.gilacountyaz.gov/government/county_attorney/index.php,,(928) 402-8630,az.csv,5,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-38a31e123c1ab057,Bryan McIntyre,District Attorney,District Attorney,AZ,Cochise County,,https://www.cochise.az.gov/county-attorney/home,Attorney@cochise.az.gov,(520) 432-8700,az.csv,3,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-c7794b2070069dab,George Silva,District Attorney,District Attorney,AZ,Santa Cruz County,,http://www.co.santa-cruz.az.us/155/County-Attorney,gsilva@santacruzcountyaz.gov,520-375-7780,az.csv,14,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-592e6abeb9fe005f,Jeremy Ford,District Attorney,District Attorney,AZ,Greenlee County,,http://www.co.greenlee.az.us/attorney/,jford@co.greenlee.az.us,(928) 865-4108,az.csv,7,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-a34f1a9f80246269,Jon R. Smith,District Attorney,District Attorney,AZ,Yuma County,,http://www.yumacountyaz.gov/government/county-attorney,,(928) 817-4300,az.csv,16,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-c559fa255fa94db9,"Kenneth ""Kenny"" Angle",District Attorney,District Attorney,AZ,Graham County,,https://www.graham.az.gov/175/Attorney,kangle@graham.az.gov,928-428-3620,az.csv,6,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-9de2b651000576a1,Kent Vokmer,District Attorney,District Attorney,AZ,Pinal County,,http://www.pinalcountyaz.gov/CountyAttorney/Pages/Home.aspx,PinalCountyAttorney@pinalcountyaz.gov,520-866-6271,az.csv,13,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-396541b101236b87,Mark Brnovich,Attorney General,Attorney General,AZ,,,https://www.azag.gov/profile/mark-brnovich,,,attorney-general.csv,5,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-6ca146593c2983cc,"Matthew ""Matt"" J. Smith",District Attorney,District Attorney,AZ,Mohave County,,https://www.mohavecounty.us/ContentPage.aspx?id=112,matt.smith@mohavecounty.us,928-753-0719,az.csv,10,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-95614ca27fc46c3c,Michael B. Whiting,District Attorney,District Attorney,AZ,Apache County,,http://www.co.apache.az.us/attorney/,ygreer@apachelaw.net,(928) 337-7560,az.csv,2,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-10868412f8ed0a50,Sheila Polk,District Attorney,District Attorney,AZ,Yavapai County,,http://www.yavapai.us/coatty/,,(928) 771-3344,az.csv,15,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-277544d80fc3d03e,Tony Rogers,District Attorney,District Attorney,AZ,La Paz County,,http://www.co.la-paz.az.us/154/County-Attorney,tonyrogers@co.la-paz.az.us,928-669-6118,az.csv,8,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
az-bb710ad60c1122c3,"William ""Bill"" P. Ring",District Attorney,District Attorney,AZ,Coconino County,,http://coconino.az.gov/162/County-Attorney,,(928) 679-8200,az.csv,4,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-abe3ef06a246e2ab,Allison Haley,District Attorney,District Attorney,CA,NAPA COUNTY,,http://www.countyofnapa.org/DA/,,(707) 253-4211,ca.csv,28,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-c482e74955deb6a0,Amanda L. Hopper,District Attorney,District Attorney,CA,SUTTER COUNTY,,http://www.co.sutter.ca.us/doc/government/depts/da/da_home,,(530) 822-7330,ca.csv,50,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-68c20da3f3619ba1,Barbara Yook,District Attorney,District Attorney,CA,CALAVERAS COUNTY,,http://www.co.calaveras.ca.us/departments/district_atty.asp,,(209) 754-6330,ca.csv,6,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-a3f6ea1ced95289b,Birgit Fladager,District Attorney,District Attorney,CA,STANISLAUS COUNTY,,http://www.stanislaus-da.org,,(209) 525-5550,ca.csv,49,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-99988ecc7d505316,C. David Eyster,District Attorney,District Attorney,CA,MENDOCINO COUNTY,,https://www.co.mendocino.ca.us/da/,,(707) 463-4211,ca.csv,23,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-ce0cc203832804aa,Candice Hooper-Mancino,District Attorney,District Attorney,CA,SAN BENITO COUNTY,,,,(831) 636-4120,ca.csv,34,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-8eab00b1c922a29d,Clifford Newell,District Attorney,District Attorney,CA,NEVADA COUNTY,,https://www.mynevadacounty.com/nc/da/Pages/Home.aspx,,(530) 265-1301,ca.csv,29,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-808e28ad72136a01,Dan Dow,District Attorney,District Attorney,CA,SAN LUIS OBISPO COUNTY,,http://www.slocounty.ca.gov/da.htm,,(805) 781-5800,ca.csv,39,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-7879f38a356a0925,David Hollister,District Attorney,District Attorney,CA,PLUMAS COUNTY,,http://www.plumascounty.us/districtattorney,,(530) 283-6303,ca.csv,32,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-9acad3b1455d5f74,David Linn,District Attorney,District Attorney,CA,MADERA COUNTY,,http://www.madera-county.com/index.php/department-overview,,(559) 675-7726,ca.csv,20,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-7595047731ea0bf3,Dean Flippo,District Attorney,District Attorney,CA,MONTEREY COUNTY,,http://www.co.monterey.ca.us/da,,(831) 755-5070,ca.csv,27,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-a3a4a188bb0b7126,Diana Becton,District Attorney,District Attorney,CA,CONTRA COSTA COUNTY,,http://www.contracostada.org/,,(925) 957-2200,ca.csv,8,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-3e99b0cfde4cd20d,Donald Anderson,District Attorney,District Attorney,CA,LAKE COUNTY,,http://www.co.lake.ca.us/Government/Directory/District_Attorney.htm,,(707) 263-2251,ca.csv,18,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-67de5c3aee8f751a,Dwayne Stewart,District Attorney,District Attorney,CA,GLENN COUNTY,,http://countyofglenn.net/govt/departments/district_attorney/,,(530) 934-6525,ca.csv,12,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-b392fc81b472f45e,Edward Berberian,District Attorney,District Attorney,CA,MARIN COUNTY,,http://www.marincounty.org/depts/da,,(415) 499-6450,ca.csv,21,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-e8a3adb756252952,Eric Heryford,District Attorney,District Attorney,CA,TRINITY COUNTY,,http://www.trinitycounty.org/index.aspx?page=62,,(530) 623-1304,ca.csv,52,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
ca-5afdc01b0916efae,George Gascon,District Attorney,District Attorney,CA,SAN FRANCISCO COUNTY,,http://www.sfdistrictattorney.org,,(415) 553-1751,ca.csv,37,Imported from legacy manual CSV. Verify campaign/incarceration evidence before publication.
