title,langcode,body
"James E. Stewart, Sr.",en,"1st Judicial District
Parishes Served: Caddo
501 Texas Street
Shreveport, LA 71101-5400

Caddo Parish
Office Phone: (318) 226-6956
Office Fax: (318) 226-5900
www.caddoda.com"
Danny Newell,en,"2nd Judicial District
Parishes Served: Bienville, Claiborne, Jackson
511 West Main St.
Homer, LA 71040

Bienville Parish
Office Phone: (318) 263-7408
Office Fax: (318) 263-7424

Claiborne Parish
Office Phone: (318) 927-4862
Office Fax: (318) 927-9687

Jackson Parish
Office Phone: (318) 259-4112
Office Fax: (318) 259-3024
www.2jdda.org/"
John F. Belton,en,"3rd Judicial District
Parishes Served: Lincoln, Union
100 West Texas Avenue
2nd Floor
Ruston, Louisiana 71270-4474

Lincoln Parish
Office Phone: (318) 513-6350
Office Fax: (318) 251-5103

Union Parish
Office Phone: (318) 368-2201
Office Fax: (318) 368-3717
http://da.lincolnparish.org/"
Robert S. Tew,en,"4th Judicial District
Parishes Served: Morehouse, Ouachita
400 Saint John Street
Suite 302
Monroe, LA 71201

Morehouse Parish
Office Phone: (318) 281-4907
Office Fax: (318) 281-8359

Ouachita Parish
Office Phone: (318) 388-4720
Office Fax: (318) 327-1420"
"John M. ""Mack"" Lancaster",en,"5th Judicial District

Parishes Served: Franklin, Richland, West Carroll
P.O. Box 805
Oak Grove, LA 71263-0805

Franklin Parish
Office Phone: (318) 435-3386
Office Fax: (318) 435-6654

Richland Parish
Office Phone: (318) 728-3166
Office Fax: (318) 728-7008

West Carroll Parish
Office Phone: (318) 428-3219
Office Fax: (318) 428-4278
www.fifthda.org"
James E. Paxton,en,"6th Judicial District
Parishes Served: East Carroll, Madison, Tensas
P.O. Box 317
St. Joseph, LA 71366-0317

East Carroll Parish
Office Phone: (318) 559-6340
Office Fax: (318) 559-6343

Madison Parish
Office Phone: (318) 574-1706
Office Fax: (318) 574-0904

Tensas Parish
Office Phone: (318) 766-4719
Office Fax: (318) 766-3945
http://sixthda.com/"
Bradley R. Burget,en,"7th Judicial District
Parishes Served: Catahoula, Concordia
4001 Carter Street, Room 9
Vidalia, LA� 71373-3021

Catahoula�Parish
Office Phone: (318) 744-5232
Office Fax: (318) 744-9587

Concordia�Parish
Office Phone: (318) 336-5526
Office Fax: (318) 336-9790
http://7thjda.org/"""
R. Chris Nevils,en,"8th Judicial District
Parishes Served: Winn
P.O. Box 1374
Winnfield, LA 71483-1374

Winn Parish
Office Phone: (318) 628-2141
Office Fax: (318) 628-2143"
"Phillip Terrell, Jr.",en,"9th Judicial District
Parishes Served: Rapides
P.O. Box 7358
Alexandria, LA 71306-7358

Rapides Parish
Office Phone: (318) 473-6650
Office Fax: (318) 442-9276
www.rapidesda.org"
Billy Joe Harrington,en,"10th Judicial District
Parishes Served: Natchitoches
P.O. Box 838
Natchitoches, LA 71458-0838

Natchitoches Parish
Office Phone: (318) 357-2214
Office Fax: (318) 357-0006"
Don M. Burkett,en,"11th Judicial District
Parishes Served: Sabine
P.O. Box 1557
Many, LA 71449-1557

Sabine Parish
Office Phone: (318) 256-6246
Office Fax: (318) 256-5176"
"Charles A. Riddle, III",en,"12th Judicial District
Parishes Served: Avoyelles
P.O. Box 1200
Marksville, LA 71351-1200

Avoyelles Parish
Office Phone: (318) 253-6587
Office Fax: (318) 253-6560
http://www.avoyellesda.org/"
Trent Brignac,en,"13th Judicial District
Parishes Served: Evangeline
P.O. Box 780
Ville Platte, LA 70586-0780
Evangeline Parish
Office Phone: (337) 363-3438
Office Fax: (337) 363-5007"
John F. DeRosier,en,"14th Judicial District
Parishes Served: Calcasieu
John F. DeRosier
P.O. Box 3206
Lake Charles, LA 70602-3206
Calcasieu Parish
Office Fax: (337) 437-1957
http://www.calcasieuda.com/"
Keith A. Stutes,en,"15th Judicial District
Parishes Served: Acadia, Lafayette, Vermillion
P.O. Box 3306
Lafayette, LA 70502-3306

Acadia Parish
Office Phone: (337) 788-8831
Office Fax: (337) 783-9471

Lafayette Parish
Office Phone: (337) 232-5170
Office Fax: (337) 235-1354

Vermilion Parish
Office Phone: (337) 898-4320
Office Fax: (337) 893-0103"

