title,langcode,role,county,officeInfo,phone,fax,email,website,profileImage
Damon G. Tyner,en,District Attorney,Atlantic ,"4997 Unami Blvd., Suite 2
P.O. Box 2002
Mays Landing, NJ 08330",(609) 909-7800,(609) 909-7899,,https://www.acpo.org/,https://www.acpo.org/wp-content/uploads/2017/09/TYNER-HEDSHOT-header.png
Mark Musella,en,District Attorney,Bergen ,"Two Bergen County Plaza
Hackensack, NJ 07601",(201) 646-2300,(201) 646-3794,prosecutor@bcpo.net,https://www.bcpo.net/,https://www.bcpo.net/images/picts/Prosecutor_Musella.jpg
Scott A. Coffina,en,District Attorney,Burlington ,"Courts Facility - 2nd Floor
49 Rancocas Road
P.O. Box 6000
Mt. Holly, NJ 08060",(609) 265-5035,(609) 265-5491,prosecutor@co.burlington.nj.us,http://www.co.burlington.nj.us/262/Prosecutor,http://www.co.burlington.nj.us/ImageRepository/Document?documentID=6213
Jill S. Mayer,en,District Attorney,Camden ,"200 Federal Street
Camden, New Jersey 08103",(856) 225-8400,,,https://camdencountypros.org/,https://www.nj.gov/oag/newsreleases19/Jill-Mayer_tn.jpg
Jeffrey H. Sutherland,en,District Attorney,Cape May ,"4 Moore Road DN-110,
Cape May Court House, NJ 08210",(609) 465-1135,(609) 465-1347,prosecutor@cmcpros.net,http://www.cmcpros.net/,http://www.cmcpros.net/wp-content/uploads/2017/12/Pros-JS-Picture-Small-2.jpg
Jennifer Webb-McRae,en,District Attorney,Cumberland ,"115 Vine St.
Bridgeton NJ 08302",(856) 453-0486,,,http://www.co.cumberland.nj.us/,http://www.co.cumberland.nj.us/images/CCPO/jen%20mcrae%20-big.jpg
Theodore N. Stephens II,en,District Attorney,Essex ,"50 West Market Street
Newark, NJ 07102",(973) 621-4700,(973) 621-4560,,http://www.njecpo.org/,http://www.njecpo.org/Images/TNS1.jpg
Charles A. Fiore,en,District Attorney,Gloucester ,"70 Hunter Street
P.O. Box 623
Woodbury, NJ 08096",(856) 384-5500,(856) 384-8624,,http://www.gloucestercountynj.gov/depts/p/prosoffice/,https://www.gannett-cdn.com/-mm-/da6f6b9f94fac23aa475dda5d643cb0c2d13eb60/c=0-686-2000-1816/local/-/media/2017/11/22/SNJGroup/CherryHill/636469526600233889-charles-fiore.jpg?width=3200&height=1680&fit=crop
Esther Suarez,en,District Attorney,Hudson ,"595 Newark Ave
Jersey City, NJ 07306",(201) 795-6400,,hcpo@hcpo.org,https://www.hudsoncountyprosecutorsofficenj.org/,https://www.hudsoncountyprosecutorsofficenj.org/wp-content/uploads/2014/04/prosecutor-updated1-189x300.png
Michael J. Williams,en,District Attorney,Hunterdon ,"65 Park Avenue
Flemington NJ 08822",(908) 788-1129,,prosecutor@co.hunterdon.nj.us,http://www.co.hunterdon.nj.us/prosecutor/prosecutor.html,http://www.co.hunterdon.nj.us/prosecutor/img/MichaelWilliams-400.jpg
