title,langcode,body
Nancy O'Malley,en,"ALAMEDA COUNTY
1225 Fallon Street, Room 900
Oakland, CA 94612
Phone: (510) 272-6222
Fax: (510) 217-5157"
Michael Atwell,en,"ALPINE COUNTY
P.O. Box 248
Markleeville, CA 96120
Phone: (530) 694-2971 Fax: (530) 694-2980
https://www.alpinecountyca.gov/Index.aspx?NID=18"
Todd Riebe,en,"708 Court Street, #202
Jackson, CA 95642
Phone: (209) 223-6444
Fax: (209) 223-6304
https://www.co.amador.ca.us/government/district-attorney"
Michael Ramsey,en,"BUTTE COUNTY
25 County Center Drive
Administration Building
Oroville, CA 95965
Phone: (530) 538-7411
Fax: (530) 538-7071
https://www.buttecounty.net/da/"
Barbara Yook,en,"CALAVERAS COUNTY
891 Mountain Ranch Road
San Andreas, CA 95249
Phone: (209) 754-6330 Fax: (297) 754-6327
https://www.co.calaveras.ca.us/departments/district_atty.asp"
Matthew Beauchamp,en,"COLUSA COUNTY
346 5th Street, Suite 101
Colusa, CA 95932
Phone: (530) 458-0545 Fax: (530) 458-0518
https://www.colusada.net/"
Diana Becton,en,"CONTRA COSTA COUNTY
900 Ward Street
Martinez, CA 94553
Phone: (925) 957-2200 Fax: (925) 957-2565
https://www.contracostada.org/"
Katherine Micks,en,"DEL NORTE COUNTY
Acting District Attorney
450 H Street, Room 171
Crescent City, CA 95531
Phone: (707) 464-7210
Fax: (707) 465-6609
https://www.co.del-norte.ca.us/departments/district-attorney"
Vernon Pierson,en,"EL DORADO COUNTY
515 Main Street
Placerville, CA 95667
Phone: (530) 621-6472
Fax: (530) 621-1280
https://www.edcgov.us/ELDODA/
https://vernpierson.us/blog/archive-2"
Lisa Smittcamp,en,"FRESNO COUNTY
2220 Tulare Street, Suite 1000
Fresno, CA 93721
Phone: (559) 600-3141
Fax: (559)�600-4400
https://www.co.fresno.ca.us/Departments.aspx?id=156"
Dwayne Stewart,en,"GLENN COUNTY
P.O. Box 430
Willows, CA 95988
Phone: (530) 934-6525
Fax: (530) 934-6529
https://countyofglenn.net/govt/departments/district_attorney/"
Maggie Fleming,en,"HUMBOLDT COUNTY
825 5th Street
Eureka, CA 95501
Phone: (707) 445-7411 Fax: (707) 445-7416
https://co.humboldt.ca.us/distatty/"
Gilbert G. Otero,en,"IMPERIAL COUNTY
940 West Main Street, Suite 102
El Centro, CA 92243
Phone: (442) 265-1175
Fax: (760) 352-4474
https://www.co.imperial.ca.us/districtattorney/"
Thomas L. Hardy,en,"INYO COUNTY
168 North Edwards
Independence, CA 93526
Phone: (760) 878-0282 Fax: (760) 878-2383"
Lisa Green,en,"KERN COUNTY
1215 Truxtun Avenue
Bakersfield, CA 93301
Phone: (661) 868-2340 Fax: (661) 868-2700
https://www.co.kern.ca.us/da"
Keith Fagundes,en,"KINGS COUNTY
https://www.countyofkings.com/departments/public-safety/district-attorney
1400 West Lacey Blvd.
Hanford, CA 93230
Phone: (559) 582-0326 Fax: (559) 584-9630"
Donald Anderson,en,"LAKE COUNTY

District Attorney
255 N. Forbes Street
Lakeport, CA 95453
Phone: (707) 263-2251 Fax: (707) 263-2328
https://www.co.lake.ca.us/Government/Directory/District_Attorney.htm"
Stacey L. Montgomery,en,"LASSEN COUNTY

District Attorney
2950 Riverside Drive, Suite 102
Susanville, CA 96130
Phone: (530) 251-8283 Fax: (530) 251-2692
https://www.lassencounty.org/dept/district-attorney/welcome"
