title,langcode,body
William Eddins,en,"Circuit 1 (Escambia, Okaloosa, Santa Rosa, Walton)

Republican

Elected: 2016

Pensacola

(850) 595 - 4200
Fax: (850) 595 - 4763

www.sao1.co.escambia.fl.us"
Jack Campbell,en,"Circuit 2 (Franklin, Gadsden, Jefferson, Leon, Liberty, Wakulla)

Democrat

Elected: 2016

Tallahassee

(850) 606-6000
Fax: (850) 606-6006

www.sao2fl.org"
Jeffrey A. Siegmeister,en,"Circuit 3 (Columbia, Dixie, Hamilton, Lafayette, Madison, Suwannee, Taylor)

Republican

Elected: 2016

(386) 362-2320
Fax: (386) 362-5370

www.StateAttorneyThird.org"
Melissa W. Nelson,en,"Circuit 4 (Clay, Duval, Nassau)

Republican

Elected: 2016

Jacksonville

(904) 630-2400
Fax: (904) 630-1848

www.sao4th.com"
Brad King,en,"Circuit 5 (Citrus, Hernando, Lake Marion, Sumter)

Republican

Elected: 2016

Ocala

(352) 671-5800
Fax: (352) 671-5913

www.Jud5.FLCourts.org"
Bernie McCabe,en,"Circuit 6 (Pasco, Pinellas)

Republican

Elected: 2016

Clearwater

(727) 464-6221

www.statty.co.pinellas.fl.us"
R. J. Larizza,en,"Circuit 7 (Flagler, Putnam, St. Johns, Volusia)

Republican

Elected: 2016

Daytona Beach

(386) 239-7710
Fax: (386) 239-7716

www.sao7.com"
William Cervone,en,"Circuit 8 (Alachua, Baker, Bradford, Gilchrist, Levy, Union)

Republican

Elected: 2016

Gainesville

(352) 374-3670
Fax: (352) 491-4552

www.SAO8.org"
Aramis D. Ayala,en,"Circuit 9 (Orange, Osceola)

Elected: 2016

Democrat

Orlando

(407) 836-2400
Fax: (407) 836-2499

www.SAO9.net"
Brian Haas,en,"Circuit 10 (Hardee, Highlands, Polk)

Republican

Elected: 2016

Bartow

(863) 534 - 4800
Fax: (863) 534 - 4945

www.sao10.com
"
Katherine Fernandez Rundle,en,"Circuit 11 (Miami, Dade)

Democrat

Elected: 2016

 Miami

 (305) 547-0100
 Fax: (305) 547-0811

 www.MiamiSAO.com"
Ed Brodsky,en,"Circuit 12 (DeSoto, Manatee, Sarasota)

Republican

Elected: 2016

Sarasota

(941) 861-4400
Fax: (941) 861-4465

www.SAO12.net"
Andrew H. Warren,en,"Circuit 13 (Hillsborough)

Democrat

Elected: 2016

Tampa

(813) 272-5400
Fax: (831) 274-1976

www.sao13th.com"
Glenn Hess,en,"Circuit 14 (Bay, Calhoun, Gulf, Holmes, Jackson, Washington)

Elected: 2016

Republican

Panama City

(850) 872-4473
Fax: (850) 872-4680

www.SA14.fl.gov"
David A. Aronberg,en,"Circuit 15 (Palm Beach)

Democrat

Elected: 2016

West Palm Beach

(561) 355-7100
Fax: (561) 366-1800

www.sa15.state.fl.us"
Dennis W. Ward ,en,"Circuit 16 (Monroe)

Republican

Elected: 2016

Key West

(305) 292-3400
Fax: (305) 294-7707

www.keyssao.org
"
Michael J. Satz,en,"Circuit 17 (Broward)

Democrat

Elected: 2016

Fort Lauderdale

(954) 831-6955
Fax: (954) 831-7321

www.sao17.state.fl.us"
Philip G. Archer,en,"Circuit 18 (Brevard, Seminole)

Republican

Elected: 2016

Viera

(321) 617-7510
Fax: (321) 617-7542

www.sa18.state.fl.us"
Bruce H. Colton,en,"Circuit 19 (Indian River, Martin, Okeechobee, St. Lucie)

Republican

Elected: 2016

Fort Pierce

(772) 465-3000
Fax: (772) 462-1214

www.sao19.org"
Stephen B. Russell ,en,"Circuit 20 (Charlotte, Collier, Glades, Hendry, Lee)

INTERNAL NOTE: Seat up for claim in 2018

Republican

Elected: 2014

Fort Myers

(239) 533-1000
Fax: (239) 533-1150

www.sao.cjis20.org"
