title,langcode,body
John Weddle,en,"1st Judicial District

Alcorn, Itawamba, Lee, Monroe, Pontotoc, Prentiss, Tishomingo

Physical Address:
706 Cruise Street
Corinth, Ms. 38834

Mailing Address:
P. O. Box 370
Corinth, Ms. 38835-0370

Phone: 662-287-2486
Fax: 662-287-2489

Tupelo Office:
Phone: 662-432-2800
FAX: 662-432-2831
P.O. Box 7237
Tupelo, MS 38802-7237 

https://www.alcorncounty.org/dattorney.aspx
https://www.facebook.com/1stJDA/"
Joel Smith,en,"2nd Judicial District

Hancock, Harrison, Stone

https://co.harrison.ms.us/elected/districtattorney/

Secretary-Treasurer for the Mississippi Prosecutors Association

Recent Articles
https://www.wlox.com/story/16435187/new-district-attorney-plans-big-changes-beginning-tuesday"
Ben Creekmore,en,"3rd Judicial District

Benton, Calhoun, Chickasaw, Lafayette, Marshall, Tippah and Union

OXFORD, MS
    1301 Monroe Ave  Oxford, MS 38655
    (662)234-3304

NEW ALBANY, MS
    111 East Main Street
    New Albany, MS 38652
    (662) 534-1079

bcreekmore@thirdcircuitmsda.com
662-534-1079"
W. Dewayne Richardson,en,"4th Judicial District

LeFlore, Sunflower, Washington

https://msdeltada.com/
dewayne@msdeltada.com"
Doug Evans,en,"5th Judicial District

Attala, Carroll, Choctaw, Grenada, Montgomery, Webster and Winston

234 First Street, P.O. Box 1262, Grenada, MS 38902, US

(662) 226-8545

https://msda5.com/"
Ronnie Harper,en,"6th Circuit Court District Attorney

Adams, Amite, Franklin, Wilkinson

PO Box 1148
Natchez, MS 39121
Phone: 601-445-4099
Fax: 601-445-7947 

https://www.amitecounty.ms/district-attorney"
Robert Shuler Smith,en,"7th Judicial District

Hinds

407 E. Pascagoula St. Jackson, MS

    1st Judicial District – 601-968-6628
    2nd Judicial District – 601-857-8038

Mailing Address:

    1st Judicial District – P.O. Box 327 Jackson, MS 39205
    2nd Judicial District – P.O. Box 999 Raymond, MS 39154"
Steven Kilgore,en,"8th Judicial District

Leake, Neshoba, Newton, Scott

P.O. Box 603
Philadelphia, Mississippi 39350
Phone 601-656-1991
Fax 601-656-2287

https://www.neshobacounty.net/district-attorney"
"Richard ""Ricky"" Smith, Jr.",en,"9th Judicial District

Issaquena, Sharkey, Warren

P.O. Box 648
1009 Cherry Street
Vicksburg, MS 39181

Office:          601-636-5754
Check Unit: 601-636-5870
Fax:             601-636-8664

rsmith@co.warren.ms.us

https://co.warren.ms.us/district-attorney/"
Bilbo Mitchell,en,"10th Judicial District

Clarke, Kemper, Lauderdale, Wayne District

500 Constitution Avenue 3rd Floor
Meridian, MS 39301
601-482-9757
da@lauderdalecounty.org
https://www.ms10thjudicialdistrict.org/DA.htm"
