title,langcode,body
Damon G. Tyner,en,Atlantic
Dennis Calo,en,Bergen
Scott A. Coffina,en,Burlington
Mary Eva Colalillo,en,Camden
Jeffrey H. Sutherland,en,Cape May
Jennifer Webb-McRae,en,Cumberland
Robert D. Laurino,en,Essex
Sean F. Dalton,en,Gloucester
Esther Suarez,en,Hudson
Anthony P. Kearns,en,Hunterdon
Angelo J. Onofri,en,Mercer
Andrew C. Carey,en,Middlesex
Christopher J. Gramiccioni,en,Monmouth
Frederic M. Knapp,en,Morris
Joseph D. Coronato,en,Ocean
Camelia M. Valdes,en,Passaic
John T. Lenahan,en,Salem
Michael H. Robertson,en,Somerset
Francis A. Koch,en,Sussex
Michael A. Monahan,en,Union
Richard T. Burke,en,Warren
