id,name,office,role,state,county_or_region,jurisdiction,website,email,phone,source_file,source_row_number,notes
fl-7a64a0d06866b690,Ginger Bowden Madden,"Office of the State Attorney, Escambia, Santa Rosa, Okaloosa, Walton",State Attorney,FL,"Escambia, Santa Rosa, Okaloosa, Walton","Escambia, Santa Rosa, Okaloosa, Walton",https://www.sao1.co.escambia.fl.us,,(850) 595-4746,Florida-State-Attorneys.csv,1,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 190 Government Center, Pensacola, 32501. ageRange: 50-60. gender: Female. Verify all data before publication."
fl-e11f59deb7376bcb,Jack Campbell,"Office of the State Attorney, Leon, Franklin, Gadsden, Jefferson, Liberty, Wakulla",State Attorney,FL,"Leon, Franklin, Gadsden, Jefferson, Liberty, Wakulla","Leon, Franklin, Gadsden, Jefferson, Liberty, Wakulla",https://www.sao2fl.org/,,(850) 606-6000,Florida-State-Attorneys.csv,2,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: Leon County Courthouse, Tallahassee, 32399. ageRange: 40-50. gender: Male. Verify all data before publication."
fl-936d3d6bdc8972f1,John Durrett,"Office of the State Attorney, Columbia, Dixie, Hamilton, Lafayette, Madison, Suwannee, Taylor",State Attorney,FL,"Columbia, Dixie, Hamilton, Lafayette, Madison, Suwannee, Taylor","Columbia, Dixie, Hamilton, Lafayette, Madison, Suwannee, Taylor",https://sao3.org/,,(386) 362-2320,Florida-State-Attorneys.csv,3,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 100 S.E. Court Street, Live Oak, 32064. gender: Male. Verify all data before publication."
fl-1c2432a39caa0759,Melissa Nelson,"Office of the State Attorney, Duval, Clay, Nassau",State Attorney,FL,"Duval, Clay, Nassau","Duval, Clay, Nassau",https://www.sao4th.com/,,(904) 630-2400,Florida-State-Attorneys.csv,4,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 330 East Bay Street 6th Floor, Jacksonville, 32202. gender: Female. Verify all data before publication."
fl-ccd3b2c3813bdf80,Bill Gladson,"Office of the State Attorney, Marion, Citrus, Lake, Sumter, Hernando",State Attorney,FL,"Marion, Citrus, Lake, Sumter, Hernando","Marion, Citrus, Lake, Sumter, Hernando",https://www.sao5.org/,,(352) 620-3800,Florida-State-Attorneys.csv,5,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 19 N.W. Pine Avenue, Ocala, 34475. gender: Male. Verify all data before publication."
fl-b77383d069cbd988,Bruce L. Bartlett,"Office of the State Attorney, Pinellas, Pasco",State Attorney,FL,"Pinellas, Pasco","Pinellas, Pasco",https://www.sao6.org/aboutsa.htm,,(727) 464-6221,Florida-State-Attorneys.csv,6,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 14250 49th Street North, Clearwater, 33762. gender: Male. Verify all data before publication."
fl-f33965bc467b61d6,R.J. Larizza,"Office of the State Attorney, Volusia, Flagler, St. Johns, Putnam",State Attorney,FL,"Volusia, Flagler, St. Johns, Putnam","Volusia, Flagler, St. Johns, Putnam",https://www.sao7.com/,,(386) 239-7710,Florida-State-Attorneys.csv,7,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 251 N. Ridgewood Ave, Daytona Beach, 32114. gender: Male. Verify all data before publication."
fl-8457f9b65a4ad81e,Brian S. Kramer,"Office of the State Attorney, Baker, Bradford, Union, Levy, Gilchrist",State Attorney,FL,"Baker, Bradford, Union, Levy, Gilchrist","Baker, Bradford, Union, Levy, Gilchrist",https://www.sao8.org/,,(352) 374-3670,Florida-State-Attorneys.csv,8,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 120 West University Avenue, Gainesville, 32601. gender: Male. Verify all data before publication."
fl-86ef905ffbc295ec,Monique H. Worrell,"Office of the State Attorney, Orange, Osceola",State Attorney,FL,"Orange, Osceola","Orange, Osceola",https://www.sao9.net/,,(407) 836-2400,Florida-State-Attorneys.csv,9,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 415 North Orange Avenue, Orlando, 32801. gender: Female. race: African American. Verify all data before publication."
fl-bb60cadead5453e4,Brian Haas,"Office of the State Attorney, Polk, Highlands, Hardee",State Attorney,FL,"Polk, Highlands, Hardee","Polk, Highlands, Hardee",https://www.sao10.com/,,(863) 534-4800,Florida-State-Attorneys.csv,10,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 255 Broadway Avenue, Bartow, 33830. gender: Male. Verify all data before publication."
fl-c5b6d8f5a203fccf,Katherine Fernandez-Rundle,"Office of the State Attorney, Miami-Dade",State Attorney,FL,Miami-Dade,Miami-Dade,https://miamisao.com/,,(305) 547-0100,Florida-State-Attorneys.csv,11,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 1350 N.W. 12th Avenue, Miami, 33136. gender: Female. Verify all data before publication."
fl-d26dae69e5677bd7,Ed Brodsky,"Office of the State Attorney, DeSoto, Manatee, Sarasota",State Attorney,FL,"DeSoto, Manatee, Sarasota","DeSoto, Manatee, Sarasota",https://www.sao12.org/home,,(941) 861-4400,Florida-State-Attorneys.csv,12,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 2071 Ringling Blvd Suite 400, Sarasota, 34237. gender: Male. Verify all data before publication."
fl-24312cf62ee3a1df,Andrew H. Warren,"Office of the State Attorney, Hillsborough",State Attorney,FL,Hillsborough,Hillsborough,https://www.sao13th.com/,,(813) 272-5400,Florida-State-Attorneys.csv,13,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 800 East Kennedy Blvd, Tampa, 33602. gender: Male. Verify all data before publication."
fl-923be7af0ca0408a,Larry Basford,"Office of the State Attorney, Bay, Calhoun, Gulf, Holmes, Jackson, Washington",State Attorney,FL,"Bay, Calhoun, Gulf, Holmes, Jackson, Washington","Bay, Calhoun, Gulf, Holmes, Jackson, Washington",https://sa14.fl.gov/,,(850) 872-4473,Florida-State-Attorneys.csv,14,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 421 Magnolia Avenue, Panama City, 32401. gender: Male. Verify all data before publication."
fl-f9aea0744e00880a,Dave Aronberg,"Office of the State Attorney, Palm Beach",State Attorney,FL,Palm Beach,Palm Beach,https://www.sa15.state.fl.us/stateattorney/,,(561) 355-7100,Florida-State-Attorneys.csv,15,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 401 N. Dixie Highway, West Palm Beach, 33401. gender: Male. Verify all data before publication."
fl-d317dd086fb09dcd,Dennis W. Ward,"Office of the State Attorney, Monroe",State Attorney,FL,Monroe,Monroe,https://www.keyssao.org/,,(305) 292-3400,Florida-State-Attorneys.csv,16,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 530 Whitehead Street Suite 201, Key West, 33040. gender: Male. Verify all data before publication."
fl-f8fe0d11b90f18f8,Harold F. Pryor,"Office of the State Attorney, Broward",State Attorney,FL,Broward,Broward,https://browardsao.com/,,(954) 831-6955,Florida-State-Attorneys.csv,17,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 201 S.E. 6th Street Suite 665, Fort Lauderdale, 33301. gender: Male. race: African American. Verify all data before publication."
fl-802516635a51a426,Phil Archer,"Office of the State Attorney, Brevard, Seminole",State Attorney,FL,"Brevard, Seminole","Brevard, Seminole",https://sa18.org/,,(321) 617-7510,Florida-State-Attorneys.csv,18,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 2725 Judge Fran Jamieson Way, Viera, 32940. gender: Male. Verify all data before publication."
fl-d95dabaae70fe56f,Thomas Bakkedahl,"Office of the State Attorney, Martin, St. Lucie, Indian River, Okeechobee",State Attorney,FL,"Martin, St. Lucie, Indian River, Okeechobee","Martin, St. Lucie, Indian River, Okeechobee",https://www.sao19.org/,bfaulkner@sao19.org,(772) 465-3000,Florida-State-Attorneys.csv,19,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 411 South Second Street, Fort Pierce, 34950. gender: Male. Verify all data before publication."
fl-ce8222d5098d2588,Amira Fox,"Office of the State Attorney, Charlotte, Collier, Glades, Hendry, Lee",State Attorney,FL,"Charlotte, Collier, Glades, Hendry, Lee","Charlotte, Collier, Glades, Hendry, Lee",https://sao20.org/,stateattorney@sao20.org,(239) 533-1000,Florida-State-Attorneys.csv,20,"Source: legacy manual CSV (Florida-State-Attorneys.csv). Address: 2000 Main Street 6th Floor, Fort Myers, 33901. gender: Female. race: White. Verify all data before publication."
ma-c1a6b5a35db82f2e,Jonathan W. Blodgett,"Office of the District Attorney, Essex",District Attorney,MA,Essex,Essex,https://www.jonblodgett.com/,,(978) 745-6610,DA_Massachusetts.csv,1,"Source: legacy manual CSV (DA_Massachusetts.csv). Address: 10 Federal Street, Salem, 01970. party: democrat. ageRange: 60-70. gender: male. race: white. appointed: 2002. Verify all data before publication."
ma-a6b3684a4546dade,Michael D. O'Keefe,"Office of the District Attorney, Cape & Islands",District Attorney,MA,Cape & Islands,Cape & Islands,https://www.mass.gov/orgs/cape-and-islands-district-attorneys-office,,(508) 362-8113,DA_Massachusetts.csv,2,"Source: legacy manual CSV (DA_Massachusetts.csv). Address: 3231 Main Street, Barnstable, 02630. party: republican. ageRange: 60-70. gender: male. race: white. appointed: 2003. Verify all data before publication."
