id,name,office,role,state,county_or_region,jurisdiction,website,email,phone,source_file,source_row_number,notes
al-7ee5e4d5a5d2fcea,Kevin P. Davidson,"U.S. Attorney's Office, Middle District of Alabama",U.S. Attorney,AL,,Middle District of Alabama,https://www.justice.gov/usao-mdal,,,us-attorneys-doj-2026.csv,1,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Acting United States Attorney."
al-5bd8f7cf886309f1,Prim F. Escalona,"U.S. Attorney's Office, Northern District of Alabama",U.S. Attorney,AL,,Northern District of Alabama,https://www.justice.gov/usao-ndal,,,us-attorneys-doj-2026.csv,2,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
al-72918f509e998f91,Sean Costello,"U.S. Attorney's Office, Southern District of Alabama",U.S. Attorney,AL,,Southern District of Alabama,https://www.justice.gov/usao-sdal,,,us-attorneys-doj-2026.csv,3,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ak-9a68bfdc9c39beeb,Michael J. Heyman,"U.S. Attorney's Office, Alaska",U.S. Attorney,AK,,Alaska,https://www.justice.gov/usao-ak,,,us-attorneys-doj-2026.csv,4,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
az-32988ea7c2cfe463,Timothy Courchaine,"U.S. Attorney's Office, Arizona",U.S. Attorney,AZ,,Arizona,https://www.justice.gov/usao-az,,,us-attorneys-doj-2026.csv,5,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ar-7c5da2db8c4e1f5e,Jonathan D. Ross,"U.S. Attorney's Office, Eastern District of Arkansas",U.S. Attorney,AR,,Eastern District of Arkansas,https://www.justice.gov/usao-edar,,,us-attorneys-doj-2026.csv,6,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ar-35b7fc5fe53b4a88,Kim Harris,"U.S. Attorney's Office, Western District of Arkansas",U.S. Attorney,AR,,Western District of Arkansas,https://www.justice.gov/usao-wdar,,,us-attorneys-doj-2026.csv,7,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ca-ea96e2bd5f3f1d71,Bilal A. Essayli,"U.S. Attorney's Office, Central District of California",U.S. Attorney,CA,,Central District of California,https://www.justice.gov/usao-cd,,,us-attorneys-doj-2026.csv,8,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Office Leader (Other)."
ca-bcf52c44cd841010,Eric Grant,"U.S. Attorney's Office, Eastern District of California",U.S. Attorney,CA,,Eastern District of California,https://www.justice.gov/usao-ed,,,us-attorneys-doj-2026.csv,9,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ca-af44c81c1a143a8e,Craig H. Missakian,"U.S. Attorney's Office, Northern District of California",U.S. Attorney,CA,,Northern District of California,https://www.justice.gov/usao-nd,,,us-attorneys-doj-2026.csv,10,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
ca-4ab447a317fb9f89,Adam Gordon,"U.S. Attorney's Office, Southern District of California",U.S. Attorney,CA,,Southern District of California,https://www.justice.gov/usao-sd,,,us-attorneys-doj-2026.csv,11,"Source: justice.gov/usao/us-attorneys-listing (updated Feb 10, 2026). Appointment status: Interim United States Attorney."
