name,role,state,county,party,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__googleNews,websites__facebook,websites__twitter,office__address__poBox,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,articles__title,articles__url,articles__summary,articles__featuredImage,relevantCases,openData,previous
Michael Whiting,District Attorney,AZ,Apache,,,male,white,,https://br-production-assets.s3.amazonaws.com/uploads/candidate/headshot/427999/thumb_427999.jpg,https://apachecountyattorney.org/,,,https://www.facebook.com/whitingattorney/,https://twitter.com/whitingattorney,P.O. Box 637,,245 W. 1st South,St. Johns,85936,928-337-7560,,,,,,,,
Brian McIntyre,District Attorney,AZ,Cochise,,,male,white,,https://scontent-sea1-1.xx.fbcdn.net/v/t1.0-9/11141351_1439617963007724_3149944662821486551_n.jpg?_nc_cat=102&_nc_sid=85a577&_nc_ohc=GB3AIo2LAUQAX8yqG_R&_nc_ht=scontent-sea1-1.xx&oh=d8eb425ae059e83d1f2551e044540ae6&oe=5FB21E69,https://www.cochise.az.gov/county-attorney/home,,,https://www.facebook.com/brianmcintyreforcochisecountyattorney/,,P.O. Drawer CA,,"150 Quality Hill Rd, 2nd Floor",Bisbee,85603,520-432-8700,,,,,,,,
William P. Ring,District Attorney,AZ,Coconino,Democratic,,male,white,,https://www.coconino.az.gov/images/InfoAdvanced/19/Bill%20Web%20Photo_thumb_thumb_thumb.jpg,https://www.coconino.az.gov/162/County-Attorney,,,https://www.facebook.com/coconinocountyattorney/,,,,110 E. Cherry Ave,Flagstaff,86001,928-679-8200,,,,,,,,
Bradley D. Beauchamp,District Attorney,AZ,Gila,Republican,,male,white,,https://www.gilacountyaz.gov/government/county_attorney/images/County_Attorney_Photo__2_.jpg,https://www.gilacountyaz.gov/government/county_attorney/index.php,,,,,,,1400 E. Ashe Street,Globe,85501,928-402-8630,,,,,,,,
Kenny Angle,District Attorney,AZ,Graham,,,male,white,,https://www.graham.az.gov/ImageRepository/Document?documentID=133,https://www.graham.az.gov/175/Attorney,,,,,,,800 Main Street,Safford,85546,928-428-3620,,,,,,,,
Jeremy Ford,District Attorney,AZ,Greenlee,Nonpartisan,,male,white,,https://www.co.greenlee.az.us/images/attorney1.jpg,https://www.co.greenlee.az.us/elected-officials/county-attorney/,,,,,P.O. Box 1717,,,Clifton,85533,928-865-4108,,,,,,,,
Tony Rogers,District Attorney,AZ,La Paz,Republican,,male,,,http://www.co.la-paz.az.us/ImageRepository/Document?documentID=190,http://www.co.la-paz.az.us/154/County-Attorney,,,,,,,1320 Kofa Avenue,Parker,85344,928-669-6118,trogers@lapazcountyaz.org,,,,,,,
Allister Adel,District Attorney,AZ,Maricopa,Republican,,female,white,,https://www.maricopacountyattorney.org/ImageRepository/Document?documentID=1265,https://www.maricopacountyattorney.org/,,,https://www.facebook.com/maricopacountyattorneysoffice,https://www.maricopacountyattorney.org/twitter,,,225 West Madison Street,Phoenix,85003,602-506-3411,,,,,,,,
Matthew J. Smith,District Attorney,AZ,Mohave,,,male,white,,https://resources.mohavecounty.us/image/Attorney/mike_smith.png,https://www.mohavecounty.us/ContentPage.aspx?id=112,,,,,,,315 N. 4th Street,Kingman,86401,928-753-0719,,,,,,,,
Brad Carlyon,District Attorney,AZ,Navajo,,,male,white,,https://www.navajocountyaz.gov/portals/0/Departments/County%20Attorney/Images/attorney.jpg,https://www.navajocountyaz.gov/Departments/County-Attorney,,,https://www.facebook.com/pages/Navajo-County-Attorneys-Office/331632566847203,,P.O. Box 668,,"100 East Code Talkers Drive, South Highway 77",Holbrook,86025,928-524-4026,,,,,,,,
Barbara LaWall,District Attorney,AZ,Pima,Democratic,,female,white,,,https://www.pcao.pima.gov/,,,http://www.facebook.com/pages/Barbara-LaWall-Pima-County-Attorney/340331092443,http://twitter.com/PimaCountyAtty,,,32 N. Stone Avenue,Tuscon,85701,520-724-5600,,,,,,,,
Kent Volkner,District Attorney,AZ,Pinal,Republican,,male,white,,https://pinalcountyattorney.org/wp-content/uploads/2018/12/EDB7793-Web-e1545149982897-1030x1030.jpg,https://pinalcountyattorney.org/,,,https://www.facebook.com/PCAOPIO/,https://twitter.com/PCAVolkmer,,,30 N. Florence St.,Florence,85132,520-866-6271,PinalCountyAttorney@pinal.gov,,,,,,,
George Silva,District Attorney,AZ,Santa Cruz,Democratic,,male,,,https://www.santacruzcountyaz.gov/images/CityDirectory/9/george.gif,https://www.santacruzcountyaz.gov/155/County-Attorney,,,,,,,2150 N. Congress Drive,Nogales,85621,520-375-7780,,,,,,,,
Sheila Polk,District Attorney,AZ,Yavapai,Republican,,female,white,,https://www.yavapai.us/portals/29/PolkSheila.png?ver=2016-05-13-083444-007,https://www.yavapai.us/coatty,,,,,,,255 E. Gurley Street,Prescott,86301,928-771-3344,,,,,,,,
Jon R. Smitth,District Attorney,AZ,Yuma,Democratic,,male,white,,https://www.yumacountyaz.gov/Home/ShowPublishedImage/5978/636173305778230000,https://www.yumacountyaz.gov/government/county-attorney,,,,,,Yuma County Justice Center,250 W. 2nd Street,Yuma,85364,928-817-4300,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
