name,role,state,county,party,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__googleNews,websites__facebook,websites__twitter,office__address__poBox,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,articles__title,articles__url,articles__summary,articles__featuredImage,relevantCases,openData,previous
Jonathan W. Blodgett,District Attorney,Massachusetts,Essex,democrat,60-70,male,white,2002,https://d279m997dpfwgl.cloudfront.net/wp/2020/03/JWB_high-res-Headshot-600x600.jpg,http://www.jonblodgett.com/,,,https://www.facebook.com/DAJonathanBlodgett/,https://twitter.com/DAJonBlodgett,,,10 Federal Street,Salem,01970,(978) 745-6610,,The true role of the district attorney,https://www.salemnews.com/news/local_news/district-attorney-blodgett-sworn-in-for-th-term/article_1b445432-2eeb-5b87-88bb-6ba7a650ce4e.html,,,https://whav.net/2020/04/08/district-attorney-19-year-old-dead-after-apparent-stabbing-near-haverhill-stadium/,,
Michael D. O'Keefe,District Attorney,Massachusetts,Cape & Islands,republican,60-70,male,white,2003,https://www.capecod.com/wp-content/uploads/OKeefe.jpg,https://www.mass.gov/orgs/cape-and-islands-district-attorneys-office,,,https://www.facebook.com/DAMichaelOKeefe/,,455,Barnstable Office,3231 Main Street,Barnstable,02630,(508) 362-8113,,The true role of the district attorney,https://www.bostonglobe.com/opinion/2019/05/28/the-true-role-district-attorney/VWBCgWHw2rI8mYOomJYpyN/story.html,,,,,
Thomas M. Quinn III,District Attorney,Massachusetts,Bristol,democrat,50-60,male,white,2015,http://bristolda.com/wp-content/uploads/2014/06/da-quinn-headshot.jpg,http://bristolda.com/,,,https://www.facebook.com/BristolCountyDistrictAttorney/,https://twitter.com/bristolda,,,888 Purchase Street,New Bedford,02740,(508) 997-0711,info@bristolda.com,District Attorney Quinn sworn in to first full term in office,https://www.heraldnews.com/news/20190201/district-attorney-quinn-sworn-in-to-first-full-term-in-office,,,https://www.boston.com/news/local-news/2020/10/02/frances-choy,,
Anthony D. Gulluni,District Attorney,Massachusetts,Hampden,democrat,30-40,male,white,2015,https://hampdenda.com/wp-content/uploads/2016/08/5x7-no-smile-214x300.jpg,https://hampdenda.com/,,,https://www.facebook.com/GulluniForDA/,https://twitter.com/GulluniForDA,,,155 Brookdale Drive,Springfield,01104,(413) 747-1000,gulluniforda@gmail.com,District Attorney Anthony Gulluni holds forum on wiping out criminal records to help people improve their lives,https://www.masslive.com/news/2020/03/district-attorney-anthony-gulluni-holds-forum-on-record-sealing-to-help-those-improving-their-lives.html,,,https://www.wma.us/academy-world-stories/~board/wma-magazine/post/anthony-gulluni-99wma-was-a-jump-start-for-my-life-ahead,,
David E. Sullivan,District Attorney,Massachusetts,Northampton,democrat,30-40,male,white,2011,https://www.recorder.com/getattachment/74a546bc-050c-4a36-91af-1d018fedf0e7/Northwestern-District-Attorney-s,https://www.northwesternda.org/,,,https://www.facebook.com/NorthwesternDADaveSullivan/,,,,One Gleason Plaza,Northampton,01060,(413) 586-9225,,,,,,,,
Timothy J. Cruz,District Attorney,Massachusetts,Plymouth,republican,50-60,male,white,2001,https://18ziqx3a4dwkqeqda1q8no17-wpengine.netdna-ssl.com/wp-content/uploads/2016/08/district-attorney-cruz-e1472481290939-155x180.jpg,https://plymouthda.com/,,,,https://twitter.com/plymouthctydao?lang=en,,,166 Main Street,Brockton,02301,(508) 584-8120,,,,,,https://www.refinery29.com/en-gb/2020/10/10067642/frances-choy-released-prosecutor-racist-emails-new-evidence,,
"Joseph D. Early, Jr.",District Attorney,Massachusetts,Worcester,democrat,40-50,male,white,2006,https://lh3.googleusercontent.com/proxy/tALma8DjNf8oPFolqGCJQR33Slcf0gw2nWCNjxmbkZivXh8tcUNK1rBfHPyKqC1tM1wuvkhWMBmlXQjUHZy0mMKjgHNVRo1d2LYTS0kNxGT6QehEELmYoEoY71oclhUWYd8p_cK6fxD3IAyC8PDJ6Jo-w50c4ZDe3uTZC0Eh3kzK0KTiD7eOhYShtKOEbMJAk8Fw9K6UX95TDJUDoJX2n8OK3lqSWtAtY1SZyfsdabIJEF06_RwMlWfobBTZI_uCmPA,https://worcesterda.com/,,,https://www.facebook.com/worcesterda/,https://twitter.com/worcesterda,,,225 Main Street G-301,Worcester,01608,(508) 755-8601,info@worcesterda.org,2222222222222222222222222222222,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1.) Using the USPD web app, choose a state & county (or counties) to search. Pick a locale that doesn't show up. Stick with District & State Attorneys.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.) Download this template & upload it to your own Google Drive. Make sure it is private.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.) Fill in as much information as you can find. If you can't find anything, it's okay if you leave columns blank!",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4.) When finished, leave a comment on this GitHub issue (or send a maintainer an email; their contact information is on the README.md): https://github.com/billimarie/prosecutor-database/issues/80",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"5.) Your data will be added to the database, & your GitHub profile will be added to the Contributors gallery (if you'd like).",,,,,,,,,,,,,,,,,,,,,,,,,,,,
