name,role,state,county,party,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__googleNews,websites__facebook,websites__twitter,office__address__poBox,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,articles__title,articles__url,articles__summary,articles__featuredImage,relevantCases,openData,previous
Aaron Ford,Attorney General,Nevada,,Democratic,40-50,male,black,FALSE,https://ag.nv.gov/uploadedImages/agnvgov/Content/About/Nevada%20Attorney%20General%20Aaron%20Ford.jpg?n=5005,https://ag.nv.gov/,https://en.wikipedia.org/wiki/Aaron_D._Ford ,,https://www.facebook.com/NVAttorneyGeneral,https://twitter.com/NevadaAG,,,100 North Carson Street,Carson City,89701,775-400-0340,AgInfo@ag.nv.gov,,,,,,,Adam Laxalt
Jason Woodbury,District Attorney,Nevada,Carson City,Republican,40-50,male,white,FALSE,https://carson.org/home/showimage?id=8788,https://www.carson.org/government/departments-a-f/district-attorney/the-district-attorney,,,https://www.facebook.com/carsoncitydistrictattorney/,,,,"885 East Musser Street, Suite 2030",Carson City,89701,775-887-2070,CCDAInfo@carson.org,,,,,,,
Arthur Mallory,District Attorney,Nevada,Churchill,Republican,,male,white,FALSE,,http://www.churchillcountynv.gov/569/Meet-the-District-Attorney,,,,,,,165 North Ada Street,Fallon,89406,775-423-6561,amallory@churchillda.org,,,,,,,
Steve Wolfson,District Attorney,Nevada,Clark,Democratic,,male,white,FALSE,https://www.clarkcountynv.gov/District%20Attorney/Bad%20Check%20Unit/wolfsonHeadshot.jpg,https://www.clarkcountynv.gov/government/departments/district_attorney/index.php,,,https://www.facebook.com/LasVegasDA/,https://twitter.com/lasvegasda?lang=en,,,"200 Lewis Avenue, Third Floor",Las Vegas,89101,702-671-2500,DAInfo@ClarkCountyDA.com,,,,,,,
Mark B. Jackson,District Attorney,Nevada,Douglas,Republican,,male,white,FALSE,https://dcnvda.org/MasterPageCssImage/BackupPage/Uploads/markjackson.jpg,https://dcnvda.org/Home.shtml,,,,,P.O. Box 218,Douglas County Judicial and Law Enforcement Building,1038 Buckeye Road,Minden,89423,775-782-9800,mjackson@douglas.nv.gov,,,,,,,
Tyler Ingram,District Attorney,Nevada,Elko,Republican,,male,white,FALSE,,https://www.elkocountynv.net/departments/district_attorney/districtattorney/staff.php,,,,,,,"540 Court Street, Floor 2",Elko,89801,775-738-3101,elkoda@elkocountynv.net,,,,,,,
Robert E. Glenne III,District Attorney,Nevada,Esmeralda,Republican,,male,white,FALSE,,https://www.accessesmeralda.com/county_offices/district_attorney.php,,,,,P.O. Box 339,,,Goldfield,89013,775-485-6352,escodaoffice@gmail.com,,,,,,,
Theodore Beutel,District Attorney,Nevada,Eureka,Republican,,male,white,FALSE,,http://co.eureka.nv.us/district/district01.htm,,,,,P.O. Box 190,,,Eureka,89316,775-237-5315,tbeutel@eurekacountynv.gov,,,,,,,
Michael Macdonald,District Attorney,Nevada,Humboldt,,,male,white,FALSE,,https://www.hcnv.us/178/District-Attorney,,,,,P.O. Box 909,,501 South Bridge Street,Winnemucca,89445,775-623-6363,hcda-michael@hcnv.us,,,,,,,
Theodore C. Herrera,District Attorney,Nevada,Lander,Republican,,male,,FALSE,,http://www.landercountynv.org/government/district_attorney/index.php,,,,,P.O. Box 187,,,Battle Mountain,89820,775-635-5195,da@landercountynv.org,,,,,,,
Dylan Frehner,District Attorney,Nevada,Lincoln,,,male,,FALSE,,https://lincolncountynv.org/departments/district-attorney/,,,,,P.O. Box 60,,"181 North Main Street, Suite 205",Pioche,89043,775-962-8073,lcda@lincolncountynv.gov,,,,,,,
