name,role,state,county,party,ageRange,gender,race,appointed,headshot,websites__url,websites__wiki,websites__googleNews,websites__facebook,websites__twitter,office__address__poBox,office__address__courthouse,office__address__street,office__address__city,office__address__zipcode,office__address__phone,office__email,articles__title,articles__url,articles__summary,articles__featuredImage
Brian Sinnett,District Attorney,Pennsylvania,Adams,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/adamsco.jpg,http://www.adamscounty.us/Dept/DA/Pages/default.aspx,,,,https://twitter.com/AdamsCountyDA/,Room 301,Adams County Courthouse,117 Baltimore St,Gettysburg,17325,717-337-9840,dainfo@adamscounty.us ,,,,
Stephen A Zappala Jr,District Attorney,Pennsylvania,Allegheny,Democrat,60-70,male,white,,https://www.pdaa.org/wp-content/uploads/2020/02/alleghenyco.jpg,http://alleghenycountyda.us/,https://en.wikipedia.org/wiki/Stephen_Zappala,,https://www.facebook.com/AlleghenyCountyDA/,https://twitter.com/AlleghenyCoDA,Room 303,Allegheny County Courthouse,436 Grant St,Pittsburgh,15219,412-350-4401,,,,,
Katie M Charlton,District Attorney,Pennsylvania,Armstrong,Republican,30-40,female,white,,https://www.pdaa.org/wp-content/uploads/2019/07/armstrongco.jpg,https://www.co.armstrong.pa.us/index.php/departments-m/district-attorney-m,,,,,Suite 323,Armstrong County Courthouse,500 East Market St,Kittaning,16201,724-548-3240,kmcharlton@co.armstrong.pa.us,,,,
David J Lozier,District Attorney,Pennsylvania,Beaver,Republican,60-70,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/beaver.jpg,http://www.beavercountypa.gov/Depts/DA/Pages/default.aspx,,,,,,Beaver County Courthouse,810 Third Street,Beaver,15009,724-773-8550,districtattorney@beavercountypa.gov,,,,
Lesley Childers-Potts,District Attorney,Pennsylvania,Bedford,Republican,,female,white,,https://www.pdaa.org/wp-content/uploads/2019/07/bedfordco.jpg,https://www.bedfordcountypa.org/courts/district_attorney/index.php,,,,,,,200 S. Juliana Street,Bedford,15522,(814) 623-4855,lchilders@bedfordcountypa.org,,,,
John T Adams,District Attorney,Pennsylvania,Berks,Democrat,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/BerksCo.jpg,https://www.co.berks.pa.us/Dept/DA/Pages/default.aspx,,,,,5th Floor,Berks County Services Center,633 Court Street,Reading,19601,(610) 478-6000,da@countyofberks.com,,,,
Peter Weeks,District Attorney,Pennsylvania,Blair,Republican,,male,white,,https://www.pdaa.org/wp-content/uploads/2013/05/blarico.jpg,http://www.blairco.org/Dept/DA/Pages/default.aspx,,,,,Suite 421,Blair County Courthouse,423 Allegheny St,Hollidaysburg,16648,(814) 693-3010,,,,,
Chad Salsman,District Attorney,Pennsylvania,Bradford,Republican,40-50,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/bradfordco.jpg,http://www.bradfordcountypa.org/index.php/elected-officials/district-attorney,,,,,Suite 3,Bradford County Courthouse,301 Main St,Towanda,18848,(570) 265-1712,bcda@bradfordco.org,,,,
Matthew Weintraub,District Attorney,Pennsylvania,Bucks,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/bucksco.jpg,http://www.buckscounty.org/government/RowOfficers/DistrictAttorney,,,,,,Bucks County Justice Center,100 North Main St,Doylestown,18901,(215) 348-6344,,,,,
Richard Goldinger,District Attorney,Pennsylvania,Butler,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/06/IMG_6648-r-214x300.jpg,https://www.butlercountypa.gov/416/District-Attorney,,,,,,Butler County Government Center,124 W. Diamond St,Butler,16003,724-284-5222,butlerda@co.butler.pa.us,,,,
Gregory J Neugebauer,District Attorney,Pennsylvania,Cambria,Republican,30-40,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/cambria.jpg,https://www.cambriacountypa.gov/district-attorney.aspx,,,,,,Cambria County Courthouse,200 South Center Street,Ebensburg,15931,814-472-1680,,,,,
Paul Joseph Malizia,District Attorney,Pennsylvania,Cameron,Republican,60-70,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/cameron.jpg,http://www.cameroncountypa.com/government/district_attorney.php,,,,,,,25 East 5th Street,Emporium,15834,(814) 486-1181,,,,,
Michael S Greek,District Attorney,Pennsylvania,Carbon,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/carbonco.jpg,http://www.carboncounty.com/index.php/2-uncategorised/39-district-attorney,,,,,P.O. Box 36,,,Jim Thorpe,18229,(570) 325-2718,mgreek@carboncounty.net,,,,
Bernie Cantorna,District Attorney,Pennsylvania,Centre,Democrat,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/centreco.jpg,http://centrecountypa.gov/366/District-Attorney,,,,,Room 302,Centre County Courthouse Annex,106 East High Street,Bellefonte,16823,(814) 355-6735,bcantorna@centreda.org,,,,
Deb Ryan,District Attorney,Pennsylvania,Chester,Democrat,40-50,female,white,,https://www.pdaa.org/wp-content/uploads/2020/01/chesterco.jpg,https://www.chesco.org/1441/District-Attorney,,,,,Suite 4450,,201 West Market St,West Chester,19380,610-344-6801,dacontact@chesco.org,,,,
Drew Joseph Welsh,District Attorney,Pennsylvania,Clarion,Republican,30-40,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/clarionco.jpg,http://www.co.clarion.pa.us/Dept/DA/Pages/default.aspx,,,,,,,514 Liberty St,Clarion,16214,(814) 226-4423,dwelsh@co.clarion.pa.us,,,,
Ryan P Sayers,District Attorney,Pennsylvania,Clearfield,Republican,30-40,male,white,,https://www.pdaa.org/wp-content/uploads/2020/01/clearfieldco.jpg,https://clearfieldco.org/district-attorney/,,,,,Suite 210,Clearfield County Courthouse,230 East Market St,Clearfield,16830,814.765.2641  ext: 5017,,,,,
Dave Strouse,District Attorney,Pennsylvania,Clinton,Republican,30-40,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/clintonco.jpg,"https://www.clintoncountypa.com/government/district-attorney#:~:text=District%20Attorney%20David%20A.,Strouse%20%7C%20Clinton%20County%2C%20PA",,,,,,,230 East Water Street,Lock Haven,17745,570-893-8353,,,,,
Thomas Leipold,District Attorney,Pennsylvania,Columbia,Republican,60-70,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/columbia.jpg,http://www.columbiapa.org/districtattorney/index.php,,,,,,Columbia County Courthouse,35 West Main St,Bloomsburg,17815,570-389-5656,,,,,
Francis J Schulz,District Attorney,Pennsylvania,Crawford,Republican,50-60,male,white,,https://www.pdaa.org/wp-content/uploads/2019/07/crawfordco.jpg,https://www.crawfordcountypa.net/DistrictAttorney/Pages/home.aspx,,,,,,Crawford County Judicial Center,359 East Center St,Meadville,16335,(814)-333-7455,,,,,
